Entity: GNB / SH.STA.MMRT
Year: 1985 | Value: 1851
Year: 1986 | Value: 1825
Year: 1987 | Value: 1796
Year: 1988 | Value: 1759
Year: 1989 | Value: 1698
Year: 1990 | Value: 1709
Year: 1991 | Value: 1663
Year: 1992 | Value: 1633
Year: 1993 | Value: 1613
Year: 1994 | Value: 1644
Year: 1995 | Value: 1556
Year: 1996 | Value: 1539
Year: 1997 | Value: 1642
Year: 1998 | Value: 1465
Year: 1999 | Value: 1461
Year: 2000 | Value: 1295
Year: 2001 | Value: 1222
Year: 2002 | Value: 1141
Year: 2003 | Value: 1069
Year: 2004 | Value: 980
Year: 2005 | Value: 956
Year: 2006 | Value: 831
Year: 2007 | Value: 792
Year: 2008 | Value: 802
Year: 2009 | Value: 753
Year: 2010 | Value: 698
Year: 2011 | Value: 678
Year: 2012 | Value: 704
Year: 2013 | Value: 707
Year: 2014 | Value: 662
Year: 2015 | Value: 631
Year: 2016 | Value: 617
Year: 2017 | Value: 597
Year: 2018 | Value: 585
Year: 2019 | Value: 598
Year: 2020 | Value: 603
Year: 2021 | Value: 617
Year: 2022 | Value: 539
Year: 2023 | Value: 505
Remark: Guinea-Bissau
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
