Entity: LMC / SH.STA.MMRT
Year: 1985 | Value: 686
Year: 1986 | Value: 657
Year: 1987 | Value: 634
Year: 1988 | Value: 610
Year: 1989 | Value: 590
Year: 1990 | Value: 572
Year: 1991 | Value: 560
Year: 1992 | Value: 542
Year: 1993 | Value: 528
Year: 1994 | Value: 515
Year: 1995 | Value: 502
Year: 1996 | Value: 490
Year: 1997 | Value: 478
Year: 1998 | Value: 466
Year: 1999 | Value: 450
Year: 2000 | Value: 433
Year: 2001 | Value: 421
Year: 2002 | Value: 405
Year: 2003 | Value: 389
Year: 2004 | Value: 375
Year: 2005 | Value: 362
Year: 2006 | Value: 351
Year: 2007 | Value: 343
Year: 2008 | Value: 338
Year: 2009 | Value: 330
Year: 2010 | Value: 322
Year: 2011 | Value: 315
Year: 2012 | Value: 308
Year: 2013 | Value: 304
Year: 2014 | Value: 298
Year: 2015 | Value: 291
Year: 2016 | Value: 283
Year: 2017 | Value: 274
Year: 2018 | Value: 266
Year: 2019 | Value: 257
Year: 2020 | Value: 251
Year: 2021 | Value: 289
Year: 2022 | Value: 238
Year: 2023 | Value: 235
Remark: Lower middle income
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
