Entity: NPL / SH.STA.MMRT
Year: 1985 | Value: 1186
Year: 1986 | Value: 1143
Year: 1987 | Value: 1088
Year: 1988 | Value: 1038
Year: 1989 | Value: 973
Year: 1990 | Value: 920
Year: 1991 | Value: 850
Year: 1992 | Value: 768
Year: 1993 | Value: 703
Year: 1994 | Value: 657
Year: 1995 | Value: 625
Year: 1996 | Value: 584
Year: 1997 | Value: 550
Year: 1998 | Value: 522
Year: 1999 | Value: 512
Year: 2000 | Value: 480
Year: 2001 | Value: 443
Year: 2002 | Value: 414
Year: 2003 | Value: 387
Year: 2004 | Value: 364
Year: 2005 | Value: 344
Year: 2006 | Value: 318
Year: 2007 | Value: 309
Year: 2008 | Value: 302
Year: 2009 | Value: 299
Year: 2010 | Value: 297
Year: 2011 | Value: 286
Year: 2012 | Value: 272
Year: 2013 | Value: 258
Year: 2014 | Value: 245
Year: 2015 | Value: 236
Year: 2016 | Value: 214
Year: 2017 | Value: 197
Year: 2018 | Value: 183
Year: 2019 | Value: 170
Year: 2020 | Value: 153
Year: 2021 | Value: 173
Year: 2022 | Value: 139
Year: 2023 | Value: 142
Remark: Nepal
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
