Entity: PER / SH.STA.MMRT
Year: 1985 | Value: 198
Year: 1986 | Value: 193
Year: 1987 | Value: 192
Year: 1988 | Value: 190
Year: 1989 | Value: 190
Year: 1990 | Value: 191
Year: 1991 | Value: 201
Year: 1992 | Value: 195
Year: 1993 | Value: 192
Year: 1994 | Value: 188
Year: 1995 | Value: 179
Year: 1996 | Value: 166
Year: 1997 | Value: 152
Year: 1998 | Value: 139
Year: 1999 | Value: 124
Year: 2000 | Value: 115
Year: 2001 | Value: 109
Year: 2002 | Value: 106
Year: 2003 | Value: 104
Year: 2004 | Value: 107
Year: 2005 | Value: 103
Year: 2006 | Value: 99
Year: 2007 | Value: 94
Year: 2008 | Value: 91
Year: 2009 | Value: 89
Year: 2010 | Value: 86
Year: 2011 | Value: 83
Year: 2012 | Value: 79
Year: 2013 | Value: 75
Year: 2014 | Value: 73
Year: 2015 | Value: 71
Year: 2016 | Value: 69
Year: 2017 | Value: 67
Year: 2018 | Value: 66
Year: 2019 | Value: 60
Year: 2020 | Value: 75
Year: 2021 | Value: 141
Year: 2022 | Value: 81
Year: 2023 | Value: 51
Remark: Peru
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
