Entity: SSF / SH.STA.MMRT
Year: 1985 | Value: 1120
Year: 1986 | Value: 1083
Year: 1987 | Value: 1107
Year: 1988 | Value: 1051
Year: 1989 | Value: 1021
Year: 1990 | Value: 1004
Year: 1991 | Value: 979
Year: 1992 | Value: 989
Year: 1993 | Value: 963
Year: 1994 | Value: 925
Year: 1995 | Value: 870
Year: 1996 | Value: 855
Year: 1997 | Value: 832
Year: 1998 | Value: 855
Year: 1999 | Value: 772
Year: 2000 | Value: 744
Year: 2001 | Value: 726
Year: 2002 | Value: 709
Year: 2003 | Value: 685
Year: 2004 | Value: 666
Year: 2005 | Value: 658
Year: 2006 | Value: 656
Year: 2007 | Value: 654
Year: 2008 | Value: 656
Year: 2009 | Value: 652
Year: 2010 | Value: 643
Year: 2011 | Value: 633
Year: 2012 | Value: 620
Year: 2013 | Value: 610
Year: 2014 | Value: 604
Year: 2015 | Value: 593
Year: 2016 | Value: 575
Year: 2017 | Value: 554
Year: 2018 | Value: 526
Year: 2019 | Value: 507
Year: 2020 | Value: 486
Year: 2021 | Value: 501
Year: 2022 | Value: 455
Year: 2023 | Value: 448
Remark: Sub-Saharan Africa
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
