Entity: TLA / SH.STA.MMRT
Year: 1985 | Value: 181
Year: 1986 | Value: 172
Year: 1987 | Value: 165
Year: 1988 | Value: 161
Year: 1989 | Value: 154
Year: 1990 | Value: 148
Year: 1991 | Value: 141
Year: 1992 | Value: 135
Year: 1993 | Value: 130
Year: 1994 | Value: 125
Year: 1995 | Value: 119
Year: 1996 | Value: 113
Year: 1997 | Value: 108
Year: 1998 | Value: 103
Year: 1999 | Value: 97
Year: 2000 | Value: 92
Year: 2001 | Value: 91
Year: 2002 | Value: 88
Year: 2003 | Value: 87
Year: 2004 | Value: 88
Year: 2005 | Value: 85
Year: 2006 | Value: 85
Year: 2007 | Value: 84
Year: 2008 | Value: 84
Year: 2009 | Value: 83
Year: 2010 | Value: 81
Year: 2011 | Value: 77
Year: 2012 | Value: 75
Year: 2013 | Value: 74
Year: 2014 | Value: 74
Year: 2015 | Value: 74
Year: 2016 | Value: 75
Year: 2017 | Value: 75
Year: 2018 | Value: 76
Year: 2019 | Value: 75
Year: 2020 | Value: 92
Year: 2021 | Value: 133
Year: 2022 | Value: 90
Year: 2023 | Value: 75
Remark: Latin America & the Caribbean (IDA & IBRD countries)
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
