Entity: TON / SH.STA.MMRT
Year: 1985 | Value: 148
Year: 1986 | Value: 149
Year: 1987 | Value: 147
Year: 1988 | Value: 145
Year: 1989 | Value: 139
Year: 1990 | Value: 138
Year: 1991 | Value: 134
Year: 1992 | Value: 129
Year: 1993 | Value: 127
Year: 1994 | Value: 123
Year: 1995 | Value: 117
Year: 1996 | Value: 113
Year: 1997 | Value: 111
Year: 1998 | Value: 104
Year: 1999 | Value: 99
Year: 2000 | Value: 100
Year: 2001 | Value: 98
Year: 2002 | Value: 98
Year: 2003 | Value: 95
Year: 2004 | Value: 92
Year: 2005 | Value: 92
Year: 2006 | Value: 89
Year: 2007 | Value: 88
Year: 2008 | Value: 88
Year: 2009 | Value: 91
Year: 2010 | Value: 85
Year: 2011 | Value: 84
Year: 2012 | Value: 83
Year: 2013 | Value: 80
Year: 2014 | Value: 80
Year: 2015 | Value: 79
Year: 2016 | Value: 78
Year: 2017 | Value: 77
Year: 2018 | Value: 74
Year: 2019 | Value: 73
Year: 2020 | Value: 74
Year: 2021 | Value: 76
Year: 2022 | Value: 72
Year: 2023 | Value: 67
Remark: Tonga
Remark: Maternal mortality ratio (modeled estimate, per 100,000 live births)
