Entity: AFG / SP.POP.TOTL
Year: 1960 | Value: 9035043
Year: 1961 | Value: 9214083
Year: 1962 | Value: 9404406
Year: 1963 | Value: 9604487
Year: 1964 | Value: 9814318
Year: 1965 | Value: 10036008
Year: 1966 | Value: 10266395
Year: 1967 | Value: 10505959
Year: 1968 | Value: 10756922
Year: 1969 | Value: 11017409
Year: 1970 | Value: 11290128
Year: 1971 | Value: 11567667
Year: 1972 | Value: 11853696
Year: 1973 | Value: 12157999
Year: 1974 | Value: 12469127
Year: 1975 | Value: 12773954
Year: 1976 | Value: 13059851
Year: 1977 | Value: 13340756
Year: 1978 | Value: 13611441
Year: 1979 | Value: 13655567
Year: 1980 | Value: 13169311
Year: 1981 | Value: 11937581
Year: 1982 | Value: 10991378
Year: 1983 | Value: 10917982
Year: 1984 | Value: 11190221
Year: 1985 | Value: 11426852
Year: 1986 | Value: 11420074
Year: 1987 | Value: 11387818
Year: 1988 | Value: 11523298
Year: 1989 | Value: 11874088
Year: 1990 | Value: 12045660
Year: 1991 | Value: 12238879
Year: 1992 | Value: 13278974
Year: 1993 | Value: 14943172
Year: 1994 | Value: 16250794
Year: 1995 | Value: 17065836
Year: 1996 | Value: 17763266
Year: 1997 | Value: 18452091
Year: 1998 | Value: 19159996
Year: 1999 | Value: 19887785
Year: 2000 | Value: 20130327
Year: 2001 | Value: 20284307
Year: 2002 | Value: 21378117
Year: 2003 | Value: 22733049
Year: 2004 | Value: 23560654
Year: 2005 | Value: 24404567
Year: 2006 | Value: 25424094
Year: 2007 | Value: 25909852
Year: 2008 | Value: 26482622
Year: 2009 | Value: 27466101
Year: 2010 | Value: 28284089
Year: 2011 | Value: 29347708
Year: 2012 | Value: 30560034
Year: 2013 | Value: 31622704
Year: 2014 | Value: 32792523
Year: 2015 | Value: 33831764
Year: 2016 | Value: 34700612
Year: 2017 | Value: 35688935
Year: 2018 | Value: 36743039
Year: 2019 | Value: 37856121
Year: 2020 | Value: 39068979
Year: 2021 | Value: 40000412
Year: 2022 | Value: 40578842
Year: 2023 | Value: 41454761
Year: 2024 | Value: 42647492
Remark: Afghanistan
Remark: Population, total
