Entity: AFW / SP.POP.TOTL
Year: 1960 | Value: 97630925
Year: 1961 | Value: 99706674
Year: 1962 | Value: 101854756
Year: 1963 | Value: 104089175
Year: 1964 | Value: 106388440
Year: 1965 | Value: 108772632
Year: 1966 | Value: 111246953
Year: 1967 | Value: 113795019
Year: 1968 | Value: 116444636
Year: 1969 | Value: 119203521
Year: 1970 | Value: 122086536
Year: 1971 | Value: 125072948
Year: 1972 | Value: 128176494
Year: 1973 | Value: 131449942
Year: 1974 | Value: 134911581
Year: 1975 | Value: 138569918
Year: 1976 | Value: 142337272
Year: 1977 | Value: 146258576
Year: 1978 | Value: 150402616
Year: 1979 | Value: 154721711
Year: 1980 | Value: 159166518
Year: 1981 | Value: 163762473
Year: 1982 | Value: 168585118
Year: 1983 | Value: 173255157
Year: 1984 | Value: 177880746
Year: 1985 | Value: 182811038
Year: 1986 | Value: 187889141
Year: 1987 | Value: 193104347
Year: 1988 | Value: 198485027
Year: 1989 | Value: 204062274
Year: 1990 | Value: 209566031
Year: 1991 | Value: 215178709
Year: 1992 | Value: 221191375
Year: 1993 | Value: 227246778
Year: 1994 | Value: 233360104
Year: 1995 | Value: 239801875
Year: 1996 | Value: 246415446
Year: 1997 | Value: 253207584
Year: 1998 | Value: 260297834
Year: 1999 | Value: 267506298
Year: 2000 | Value: 274968446
Year: 2001 | Value: 282780717
Year: 2002 | Value: 290841795
Year: 2003 | Value: 299142845
Year: 2004 | Value: 307725100
Year: 2005 | Value: 316588476
Year: 2006 | Value: 325663158
Year: 2007 | Value: 334984176
Year: 2008 | Value: 344586109
Year: 2009 | Value: 354343844
Year: 2010 | Value: 364358270
Year: 2011 | Value: 374790143
Year: 2012 | Value: 385360349
Year: 2013 | Value: 396030207
Year: 2014 | Value: 406992047
Year: 2015 | Value: 418127845
Year: 2016 | Value: 429454743
Year: 2017 | Value: 440882906
Year: 2018 | Value: 452195915
Year: 2019 | Value: 463365429
Year: 2020 | Value: 474569351
Year: 2021 | Value: 485920997
Year: 2022 | Value: 497387180
Year: 2023 | Value: 509398589
Year: 2024 | Value: 521764076
Remark: Africa Western and Central
Remark: Population, total
