Entity: CUB / SP.POP.TOTL
Year: 1960 | Value: 7238081
Year: 1961 | Value: 7387117
Year: 1962 | Value: 7541098
Year: 1963 | Value: 7701660
Year: 1964 | Value: 7866020
Year: 1965 | Value: 8030797
Year: 1966 | Value: 8193450
Year: 1967 | Value: 8352625
Year: 1968 | Value: 8509522
Year: 1969 | Value: 8666640
Year: 1970 | Value: 8824382
Year: 1971 | Value: 8979085
Year: 1972 | Value: 9123891
Year: 1973 | Value: 9255328
Year: 1974 | Value: 9374183
Year: 1975 | Value: 9479726
Year: 1976 | Value: 9571242
Year: 1977 | Value: 9648440
Year: 1978 | Value: 9711980
Year: 1979 | Value: 9763355
Year: 1980 | Value: 9804796
Year: 1981 | Value: 9849320
Year: 1982 | Value: 9912681
Year: 1983 | Value: 9991026
Year: 1984 | Value: 10073299
Year: 1985 | Value: 10157228
Year: 1986 | Value: 10244247
Year: 1987 | Value: 10335342
Year: 1988 | Value: 10432585
Year: 1989 | Value: 10533243
Year: 1990 | Value: 10631799
Year: 1991 | Value: 10717640
Year: 1992 | Value: 10785801
Year: 1993 | Value: 10841031
Year: 1994 | Value: 10886021
Year: 1995 | Value: 10925362
Year: 1996 | Value: 10962010
Year: 1997 | Value: 10997934
Year: 1998 | Value: 11034712
Year: 1999 | Value: 11072230
Year: 2000 | Value: 11109109
Year: 2001 | Value: 11144132
Year: 2002 | Value: 11177418
Year: 2003 | Value: 11209383
Year: 2004 | Value: 11238756
Year: 2005 | Value: 11262554
Year: 2006 | Value: 11278550
Year: 2007 | Value: 11287272
Year: 2008 | Value: 11291762
Year: 2009 | Value: 11294719
Year: 2010 | Value: 11297409
Year: 2011 | Value: 11301571
Year: 2012 | Value: 11303175
Year: 2013 | Value: 11298167
Year: 2014 | Value: 11285775
Year: 2015 | Value: 11275065
Year: 2016 | Value: 11265612
Year: 2017 | Value: 11247829
Year: 2018 | Value: 11227118
Year: 2019 | Value: 11202846
Year: 2020 | Value: 11176354
Year: 2021 | Value: 11122168
Year: 2022 | Value: 11059820
Year: 2023 | Value: 11019931
Year: 2024 | Value: 10979783
Remark: Cuba
Remark: Population, total
