Entity: DMA / SP.POP.TOTL
Year: 1960 | Value: 59372
Year: 1961 | Value: 60209
Year: 1962 | Value: 60948
Year: 1963 | Value: 61739
Year: 1964 | Value: 62587
Year: 1965 | Value: 63505
Year: 1966 | Value: 64507
Year: 1967 | Value: 65585
Year: 1968 | Value: 66732
Year: 1969 | Value: 67934
Year: 1970 | Value: 68908
Year: 1971 | Value: 69532
Year: 1972 | Value: 70060
Year: 1973 | Value: 70585
Year: 1974 | Value: 71091
Year: 1975 | Value: 71570
Year: 1976 | Value: 72017
Year: 1977 | Value: 72406
Year: 1978 | Value: 72724
Year: 1979 | Value: 72959
Year: 1980 | Value: 73083
Year: 1981 | Value: 72986
Year: 1982 | Value: 72688
Year: 1983 | Value: 72365
Year: 1984 | Value: 72056
Year: 1985 | Value: 71744
Year: 1986 | Value: 71406
Year: 1987 | Value: 71023
Year: 1988 | Value: 70608
Year: 1989 | Value: 70153
Year: 1990 | Value: 69627
Year: 1991 | Value: 69296
Year: 1992 | Value: 69325
Year: 1993 | Value: 69433
Year: 1994 | Value: 69477
Year: 1995 | Value: 69469
Year: 1996 | Value: 69410
Year: 1997 | Value: 69299
Year: 1998 | Value: 69124
Year: 1999 | Value: 68870
Year: 2000 | Value: 68511
Year: 2001 | Value: 68288
Year: 2002 | Value: 68367
Year: 2003 | Value: 68531
Year: 2004 | Value: 68649
Year: 2005 | Value: 68734
Year: 2006 | Value: 68806
Year: 2007 | Value: 68847
Year: 2008 | Value: 68854
Year: 2009 | Value: 68864
Year: 2010 | Value: 68859
Year: 2011 | Value: 69053
Year: 2012 | Value: 69118
Year: 2013 | Value: 69715
Year: 2014 | Value: 70373
Year: 2015 | Value: 70410
Year: 2016 | Value: 69606
Year: 2017 | Value: 68496
Year: 2018 | Value: 68174
Year: 2019 | Value: 67880
Year: 2020 | Value: 67573
Year: 2021 | Value: 67202
Year: 2022 | Value: 66826
Year: 2023 | Value: 66510
Year: 2024 | Value: 66205
Remark: Dominica
Remark: Population, total
