Entity: DZA / SP.POP.TOTL
Year: 1960 | Value: 11424922
Year: 1961 | Value: 11628883
Year: 1962 | Value: 11800771
Year: 1963 | Value: 11982118
Year: 1964 | Value: 12179813
Year: 1965 | Value: 12365976
Year: 1966 | Value: 12590069
Year: 1967 | Value: 12876118
Year: 1968 | Value: 13172614
Year: 1969 | Value: 13475960
Year: 1970 | Value: 13783719
Year: 1971 | Value: 14098936
Year: 1972 | Value: 14427072
Year: 1973 | Value: 14771147
Year: 1974 | Value: 15133502
Year: 1975 | Value: 15678596
Year: 1976 | Value: 16409170
Year: 1977 | Value: 17015994
Year: 1978 | Value: 17506974
Year: 1979 | Value: 18036655
Year: 1980 | Value: 18607174
Year: 1981 | Value: 19220704
Year: 1982 | Value: 19872348
Year: 1983 | Value: 20558115
Year: 1984 | Value: 21271969
Year: 1985 | Value: 22008544
Year: 1986 | Value: 22745499
Year: 1987 | Value: 23443624
Year: 1988 | Value: 24109536
Year: 1989 | Value: 24754485
Year: 1990 | Value: 25375810
Year: 1991 | Value: 25987928
Year: 1992 | Value: 26628568
Year: 1993 | Value: 27277048
Year: 1994 | Value: 27887279
Year: 1995 | Value: 28470191
Year: 1996 | Value: 29033044
Year: 1997 | Value: 29579301
Year: 1998 | Value: 30054133
Year: 1999 | Value: 30474354
Year: 2000 | Value: 30903893
Year: 2001 | Value: 31331221
Year: 2002 | Value: 31750835
Year: 2003 | Value: 32175818
Year: 2004 | Value: 32628286
Year: 2005 | Value: 33109249
Year: 2006 | Value: 33623506
Year: 2007 | Value: 34189416
Year: 2008 | Value: 34816961
Year: 2009 | Value: 35490445
Year: 2010 | Value: 36188236
Year: 2011 | Value: 36903376
Year: 2012 | Value: 37646166
Year: 2013 | Value: 38414171
Year: 2014 | Value: 39205031
Year: 2015 | Value: 40019529
Year: 2016 | Value: 40850721
Year: 2017 | Value: 41689299
Year: 2018 | Value: 42505035
Year: 2019 | Value: 43294546
Year: 2020 | Value: 44042091
Year: 2021 | Value: 44761099
Year: 2022 | Value: 45477389
Year: 2023 | Value: 46164219
Year: 2024 | Value: 46814308
Remark: Algeria
Remark: Population, total
