Entity: ECS / SP.POP.TOTL
Year: 1960 | Value: 667887356
Year: 1961 | Value: 675548634
Year: 1962 | Value: 683341199
Year: 1963 | Value: 691189404
Year: 1964 | Value: 699058435
Year: 1965 | Value: 706683416
Year: 1966 | Value: 713443573
Year: 1967 | Value: 720146318
Year: 1968 | Value: 726634174
Year: 1969 | Value: 733044421
Year: 1970 | Value: 738724073
Year: 1971 | Value: 744432963
Year: 1972 | Value: 750728655
Year: 1973 | Value: 756775460
Year: 1974 | Value: 762546552
Year: 1975 | Value: 768080678
Year: 1976 | Value: 773619713
Year: 1977 | Value: 779117798
Year: 1978 | Value: 784556247
Year: 1979 | Value: 789862141
Year: 1980 | Value: 795362835
Year: 1981 | Value: 800542417
Year: 1982 | Value: 805247476
Year: 1983 | Value: 809947364
Year: 1984 | Value: 814856984
Year: 1985 | Value: 819874109
Year: 1986 | Value: 825034695
Year: 1987 | Value: 830294805
Year: 1988 | Value: 835601587
Year: 1989 | Value: 840881506
Year: 1990 | Value: 845290251
Year: 1991 | Value: 849169385
Year: 1992 | Value: 852664501
Year: 1993 | Value: 855554222
Year: 1994 | Value: 857724587
Year: 1995 | Value: 859504754
Year: 1996 | Value: 861073426
Year: 1997 | Value: 862335057
Year: 1998 | Value: 863317613
Year: 1999 | Value: 864306932
Year: 2000 | Value: 865392479
Year: 2001 | Value: 866590696
Year: 2002 | Value: 868234843
Year: 2003 | Value: 870529446
Year: 2004 | Value: 873069464
Year: 2005 | Value: 875563919
Year: 2006 | Value: 878166933
Year: 2007 | Value: 880656346
Year: 2008 | Value: 884224673
Year: 2009 | Value: 887741128
Year: 2010 | Value: 890990371
Year: 2011 | Value: 893009595
Year: 2012 | Value: 896514510
Year: 2013 | Value: 899907172
Year: 2014 | Value: 903561071
Year: 2015 | Value: 907527486
Year: 2016 | Value: 911579016
Year: 2017 | Value: 915065824
Year: 2018 | Value: 918689254
Year: 2019 | Value: 921932163
Year: 2020 | Value: 923664467
Year: 2021 | Value: 924381062
Year: 2022 | Value: 924234471
Year: 2023 | Value: 924773523
Year: 2024 | Value: 928263208
Remark: Europe & Central Asia
Remark: Population, total
