Entity: EGY / SP.POP.TOTL
Year: 1960 | Value: 26896479
Year: 1961 | Value: 27600898
Year: 1962 | Value: 28337013
Year: 1963 | Value: 29091869
Year: 1964 | Value: 29858922
Year: 1965 | Value: 30629174
Year: 1966 | Value: 31406541
Year: 1967 | Value: 32196360
Year: 1968 | Value: 32998319
Year: 1969 | Value: 33811615
Year: 1970 | Value: 34623990
Year: 1971 | Value: 35433368
Year: 1972 | Value: 36258328
Year: 1973 | Value: 37102043
Year: 1974 | Value: 37969667
Year: 1975 | Value: 38875327
Year: 1976 | Value: 39795557
Year: 1977 | Value: 40748870
Year: 1978 | Value: 41761431
Year: 1979 | Value: 42818628
Year: 1980 | Value: 43950413
Year: 1981 | Value: 45147224
Year: 1982 | Value: 46407611
Year: 1983 | Value: 47786402
Year: 1984 | Value: 49247334
Year: 1985 | Value: 50734968
Year: 1986 | Value: 52206295
Year: 1987 | Value: 53674435
Year: 1988 | Value: 55187681
Year: 1989 | Value: 56710642
Year: 1990 | Value: 58396618
Year: 1991 | Value: 60028997
Year: 1992 | Value: 61480660
Year: 1993 | Value: 62915681
Year: 1994 | Value: 64285589
Year: 1995 | Value: 65652622
Year: 1996 | Value: 67028048
Year: 1997 | Value: 68431740
Year: 1998 | Value: 69943294
Year: 1999 | Value: 71520954
Year: 2000 | Value: 73083284
Year: 2001 | Value: 74652029
Year: 2002 | Value: 76239137
Year: 2003 | Value: 77853548
Year: 2004 | Value: 79477443
Year: 2005 | Value: 81101004
Year: 2006 | Value: 82700403
Year: 2007 | Value: 84276225
Year: 2008 | Value: 85864789
Year: 2009 | Value: 87501636
Year: 2010 | Value: 89196072
Year: 2011 | Value: 91093059
Year: 2012 | Value: 93161001
Year: 2013 | Value: 95333553
Year: 2014 | Value: 97528654
Year: 2015 | Value: 99597342
Year: 2016 | Value: 101644589
Year: 2017 | Value: 103696057
Year: 2018 | Value: 105682094
Year: 2019 | Value: 107553158
Year: 2020 | Value: 109315124
Year: 2021 | Value: 110957008
Year: 2022 | Value: 112618250
Year: 2023 | Value: 114535772
Year: 2024 | Value: 116538258
Remark: Egypt, Arab Rep.
Remark: Population, total
