Entity: ETH / SP.POP.TOTL
Year: 1960 | Value: 21376693
Year: 1961 | Value: 21906102
Year: 1962 | Value: 22465126
Year: 1963 | Value: 23051637
Year: 1964 | Value: 23666548
Year: 1965 | Value: 24310612
Year: 1966 | Value: 24952689
Year: 1967 | Value: 25620276
Year: 1968 | Value: 26337930
Year: 1969 | Value: 27072571
Year: 1970 | Value: 27829128
Year: 1971 | Value: 28600106
Year: 1972 | Value: 29374608
Year: 1973 | Value: 30166785
Year: 1974 | Value: 30957273
Year: 1975 | Value: 31723252
Year: 1976 | Value: 32534418
Year: 1977 | Value: 33167272
Year: 1978 | Value: 33734592
Year: 1979 | Value: 34238652
Year: 1980 | Value: 34428514
Year: 1981 | Value: 35304012
Year: 1982 | Value: 36701290
Year: 1983 | Value: 37740817
Year: 1984 | Value: 38735722
Year: 1985 | Value: 39842136
Year: 1986 | Value: 41037656
Year: 1987 | Value: 42460039
Year: 1988 | Value: 44150825
Year: 1989 | Value: 45879690
Year: 1990 | Value: 47609755
Year: 1991 | Value: 49717198
Year: 1992 | Value: 51853747
Year: 1993 | Value: 53708891
Year: 1994 | Value: 55611508
Year: 1995 | Value: 57537335
Year: 1996 | Value: 59467635
Year: 1997 | Value: 61404539
Year: 1998 | Value: 63363524
Year: 1999 | Value: 65374561
Year: 2000 | Value: 67411494
Year: 2001 | Value: 69487762
Year: 2002 | Value: 71635517
Year: 2003 | Value: 73832663
Year: 2004 | Value: 76077206
Year: 2005 | Value: 78367470
Year: 2006 | Value: 80703490
Year: 2007 | Value: 83103217
Year: 2008 | Value: 85543668
Year: 2009 | Value: 88007636
Year: 2010 | Value: 90538514
Year: 2011 | Value: 93149970
Year: 2012 | Value: 95798767
Year: 2013 | Value: 98438751
Year: 2014 | Value: 101115610
Year: 2015 | Value: 103867135
Year: 2016 | Value: 106718162
Year: 2017 | Value: 109666481
Year: 2018 | Value: 112664152
Year: 2019 | Value: 115737383
Year: 2020 | Value: 118917671
Year: 2021 | Value: 122138588
Year: 2022 | Value: 125384287
Year: 2023 | Value: 128691692
Year: 2024 | Value: 132059767
Remark: Ethiopia
Remark: Population, total
