Entity: GIN / SP.POP.TOTL
Year: 1960 | Value: 3556749
Year: 1961 | Value: 3619551
Year: 1962 | Value: 3684273
Year: 1963 | Value: 3750954
Year: 1964 | Value: 3819722
Year: 1965 | Value: 3890716
Year: 1966 | Value: 3964155
Year: 1967 | Value: 4040153
Year: 1968 | Value: 4118550
Year: 1969 | Value: 4198300
Year: 1970 | Value: 4277535
Year: 1971 | Value: 4355200
Year: 1972 | Value: 4431292
Year: 1973 | Value: 4506324
Year: 1974 | Value: 4580510
Year: 1975 | Value: 4653876
Year: 1976 | Value: 4727022
Year: 1977 | Value: 4801128
Year: 1978 | Value: 4877854
Year: 1979 | Value: 4959283
Year: 1980 | Value: 5047419
Year: 1981 | Value: 5143288
Year: 1982 | Value: 5247672
Year: 1983 | Value: 5359814
Year: 1984 | Value: 5480096
Year: 1985 | Value: 5610373
Year: 1986 | Value: 5750668
Year: 1987 | Value: 5900198
Year: 1988 | Value: 6056574
Year: 1989 | Value: 6215811
Year: 1990 | Value: 6434374
Year: 1991 | Value: 6697166
Year: 1992 | Value: 6914366
Year: 1993 | Value: 7128177
Year: 1994 | Value: 7345107
Year: 1995 | Value: 7553249
Year: 1996 | Value: 7770035
Year: 1997 | Value: 7931370
Year: 1998 | Value: 8081990
Year: 1999 | Value: 8265123
Year: 2000 | Value: 8428832
Year: 2001 | Value: 8539960
Year: 2002 | Value: 8674066
Year: 2003 | Value: 8870781
Year: 2004 | Value: 9062726
Year: 2005 | Value: 9245844
Year: 2006 | Value: 9441171
Year: 2007 | Value: 9662281
Year: 2008 | Value: 9898870
Year: 2009 | Value: 10143534
Year: 2010 | Value: 10396086
Year: 2011 | Value: 10656810
Year: 2012 | Value: 10921581
Year: 2013 | Value: 11191873
Year: 2014 | Value: 11472924
Year: 2015 | Value: 11767070
Year: 2016 | Value: 12073030
Year: 2017 | Value: 12385659
Year: 2018 | Value: 12704774
Year: 2019 | Value: 13034346
Year: 2020 | Value: 13371183
Year: 2021 | Value: 13710513
Year: 2022 | Value: 14055137
Year: 2023 | Value: 14405468
Year: 2024 | Value: 14754785
Remark: Guinea
Remark: Population, total
