Entity: IBD / SP.POP.TOTL
Year: 1960 | Value: 1893704624
Year: 1961 | Value: 1915613080
Year: 1962 | Value: 1950274734
Year: 1963 | Value: 1996753344
Year: 1964 | Value: 2043309631
Year: 1965 | Value: 2090209567
Year: 1966 | Value: 2139608511
Year: 1967 | Value: 2188950141
Year: 1968 | Value: 2239610101
Year: 1969 | Value: 2292098651
Year: 1970 | Value: 2346056161
Year: 1971 | Value: 2401008150
Year: 1972 | Value: 2454764228
Year: 1973 | Value: 2508370507
Year: 1974 | Value: 2561343989
Year: 1975 | Value: 2613194091
Year: 1976 | Value: 2664387118
Year: 1977 | Value: 2714845767
Year: 1978 | Value: 2765565797
Year: 1979 | Value: 2816995104
Year: 1980 | Value: 2869277824
Year: 1981 | Value: 2923255528
Year: 1982 | Value: 2980033813
Year: 1983 | Value: 3037252917
Year: 1984 | Value: 3094477559
Year: 1985 | Value: 3152581662
Year: 1986 | Value: 3212177926
Year: 1987 | Value: 3273388723
Year: 1988 | Value: 3334875641
Year: 1989 | Value: 3395765359
Year: 1990 | Value: 3455533853
Year: 1991 | Value: 3513390696
Year: 1992 | Value: 3568890021
Year: 1993 | Value: 3622924380
Year: 1994 | Value: 3675872938
Year: 1995 | Value: 3728290191
Year: 1996 | Value: 3780446473
Year: 1997 | Value: 3832391543
Year: 1998 | Value: 3884078902
Year: 1999 | Value: 3934521819
Year: 2000 | Value: 3983328255
Year: 2001 | Value: 4031080605
Year: 2002 | Value: 4077229003
Year: 2003 | Value: 4122775918
Year: 2004 | Value: 4168676771
Year: 2005 | Value: 4214082145
Year: 2006 | Value: 4258827055
Year: 2007 | Value: 4302067550
Year: 2008 | Value: 4346234014
Year: 2009 | Value: 4391389527
Year: 2010 | Value: 4436714947
Year: 2011 | Value: 4483152627
Year: 2012 | Value: 4532100585
Year: 2013 | Value: 4581958556
Year: 2014 | Value: 4630607878
Year: 2015 | Value: 4676773551
Year: 2016 | Value: 4721566970
Year: 2017 | Value: 4765773411
Year: 2018 | Value: 4806981820
Year: 2019 | Value: 4845075024
Year: 2020 | Value: 4878296727
Year: 2021 | Value: 4905212516
Year: 2022 | Value: 4928196300
Year: 2023 | Value: 4952212190
Year: 2024 | Value: 4979421568
Remark: IBRD only
Remark: Population, total
