Entity: JOR / SP.POP.TOTL
Year: 1960 | Value: 853471
Year: 1961 | Value: 897591
Year: 1962 | Value: 940554
Year: 1963 | Value: 984714
Year: 1964 | Value: 1035640
Year: 1965 | Value: 1099440
Year: 1966 | Value: 1178360
Year: 1967 | Value: 1271183
Year: 1968 | Value: 1372460
Year: 1969 | Value: 1473100
Year: 1970 | Value: 1565163
Year: 1971 | Value: 1645145
Year: 1972 | Value: 1714555
Year: 1973 | Value: 1778094
Year: 1974 | Value: 1839182
Year: 1975 | Value: 1899055
Year: 1976 | Value: 1958177
Year: 1977 | Value: 2019002
Year: 1978 | Value: 2083595
Year: 1979 | Value: 2153882
Year: 1980 | Value: 2234186
Year: 1981 | Value: 2325517
Year: 1982 | Value: 2426927
Year: 1983 | Value: 2537307
Year: 1984 | Value: 2654688
Year: 1985 | Value: 2778810
Year: 1986 | Value: 2909887
Year: 1987 | Value: 3047634
Year: 1988 | Value: 3193039
Year: 1989 | Value: 3349627
Year: 1990 | Value: 3621908
Year: 1991 | Value: 3915149
Year: 1992 | Value: 4127693
Year: 1993 | Value: 4348020
Year: 1994 | Value: 4561406
Year: 1995 | Value: 4752096
Year: 1996 | Value: 4912516
Year: 1997 | Value: 5046285
Year: 1998 | Value: 5164284
Year: 1999 | Value: 5276444
Year: 2000 | Value: 5386945
Year: 2001 | Value: 5498894
Year: 2002 | Value: 5616066
Year: 2003 | Value: 5741828
Year: 2004 | Value: 5882061
Year: 2005 | Value: 6029587
Year: 2006 | Value: 6427371
Year: 2007 | Value: 6827227
Year: 2008 | Value: 6989866
Year: 2009 | Value: 7141753
Year: 2010 | Value: 7297043
Year: 2011 | Value: 7480424
Year: 2012 | Value: 7587127
Year: 2013 | Value: 7991809
Year: 2014 | Value: 8791710
Year: 2015 | Value: 9544729
Year: 2016 | Value: 10006367
Year: 2017 | Value: 10234226
Year: 2018 | Value: 10462306
Year: 2019 | Value: 10671891
Year: 2020 | Value: 10865228
Year: 2021 | Value: 11066356
Year: 2022 | Value: 11256263
Year: 2023 | Value: 11439213
Year: 2024 | Value: 11552876
Remark: Jordan
Remark: Population, total
