Entity: KNA / SP.POP.TOTL
Year: 1960 | Value: 55810
Year: 1961 | Value: 55334
Year: 1962 | Value: 54461
Year: 1963 | Value: 53441
Year: 1964 | Value: 52326
Year: 1965 | Value: 51139
Year: 1966 | Value: 49898
Year: 1967 | Value: 48605
Year: 1968 | Value: 47245
Year: 1969 | Value: 45731
Year: 1970 | Value: 44606
Year: 1971 | Value: 44206
Year: 1972 | Value: 44033
Year: 1973 | Value: 43880
Year: 1974 | Value: 43738
Year: 1975 | Value: 43606
Year: 1976 | Value: 43482
Year: 1977 | Value: 43358
Year: 1978 | Value: 43217
Year: 1979 | Value: 43033
Year: 1980 | Value: 42850
Year: 1981 | Value: 42698
Year: 1982 | Value: 42532
Year: 1983 | Value: 42334
Year: 1984 | Value: 42113
Year: 1985 | Value: 41874
Year: 1986 | Value: 41618
Year: 1987 | Value: 41348
Year: 1988 | Value: 41062
Year: 1989 | Value: 40758
Year: 1990 | Value: 40432
Year: 1991 | Value: 40358
Year: 1992 | Value: 40715
Year: 1993 | Value: 41242
Year: 1994 | Value: 41776
Year: 1995 | Value: 42326
Year: 1996 | Value: 42877
Year: 1997 | Value: 43428
Year: 1998 | Value: 43998
Year: 1999 | Value: 44601
Year: 2000 | Value: 45248
Year: 2001 | Value: 45761
Year: 2002 | Value: 46020
Year: 2003 | Value: 46176
Year: 2004 | Value: 46315
Year: 2005 | Value: 46437
Year: 2006 | Value: 46569
Year: 2007 | Value: 46706
Year: 2008 | Value: 46835
Year: 2009 | Value: 46916
Year: 2010 | Value: 46846
Year: 2011 | Value: 46886
Year: 2012 | Value: 47033
Year: 2013 | Value: 47069
Year: 2014 | Value: 47089
Year: 2015 | Value: 47087
Year: 2016 | Value: 47075
Year: 2017 | Value: 47050
Year: 2018 | Value: 47008
Year: 2019 | Value: 46952
Year: 2020 | Value: 46870
Year: 2021 | Value: 46763
Year: 2022 | Value: 46709
Year: 2023 | Value: 46758
Year: 2024 | Value: 46843
Remark: St. Kitts and Nevis
Remark: Population, total
