Entity: LTE / SP.POP.TOTL
Year: 1960 | Value: 1094883717
Year: 1961 | Value: 1096959453
Year: 1962 | Value: 1111293141
Year: 1963 | Value: 1137056579
Year: 1964 | Value: 1162405292
Year: 1965 | Value: 1188451832
Year: 1966 | Value: 1217220438
Year: 1967 | Value: 1245130293
Year: 1968 | Value: 1273820149
Year: 1969 | Value: 1304068257
Year: 1970 | Value: 1334963829
Year: 1971 | Value: 1366487769
Year: 1972 | Value: 1396407513
Year: 1973 | Value: 1425381475
Year: 1974 | Value: 1452919554
Year: 1975 | Value: 1478265786
Year: 1976 | Value: 1502269051
Year: 1977 | Value: 1524947137
Year: 1978 | Value: 1547677040
Year: 1979 | Value: 1570272872
Year: 1980 | Value: 1592439385
Year: 1981 | Value: 1615106897
Year: 1982 | Value: 1639793804
Year: 1983 | Value: 1664394629
Year: 1984 | Value: 1688121991
Year: 1985 | Value: 1712585483
Year: 1986 | Value: 1738504785
Year: 1987 | Value: 1765799733
Year: 1988 | Value: 1793220326
Year: 1989 | Value: 1819952808
Year: 1990 | Value: 1844718134
Year: 1991 | Value: 1868272190
Year: 1992 | Value: 1890820460
Year: 1993 | Value: 1912010271
Year: 1994 | Value: 1932650915
Year: 1995 | Value: 1952702058
Year: 1996 | Value: 1972254664
Year: 1997 | Value: 1991505992
Year: 1998 | Value: 2010169496
Year: 1999 | Value: 2027628907
Year: 2000 | Value: 2043581322
Year: 2001 | Value: 2058600486
Year: 2002 | Value: 2072599555
Year: 2003 | Value: 2086139068
Year: 2004 | Value: 2099412663
Year: 2005 | Value: 2112603351
Year: 2006 | Value: 2126122277
Year: 2007 | Value: 2139958608
Year: 2008 | Value: 2153941306
Year: 2009 | Value: 2167303374
Year: 2010 | Value: 2179525352
Year: 2011 | Value: 2193171336
Year: 2012 | Value: 2209319631
Year: 2013 | Value: 2225005187
Year: 2014 | Value: 2241122152
Year: 2015 | Value: 2256126712
Year: 2016 | Value: 2270841806
Year: 2017 | Value: 2285870134
Year: 2018 | Value: 2298394042
Year: 2019 | Value: 2308878047
Year: 2020 | Value: 2316152451
Year: 2021 | Value: 2320127638
Year: 2022 | Value: 2323799591
Year: 2023 | Value: 2326296729
Year: 2024 | Value: 2328628339
Remark: Late-demographic dividend
Remark: Population, total
