Entity: LVA / SP.POP.TOTL
Year: 1960 | Value: 2120979
Year: 1961 | Value: 2152681
Year: 1962 | Value: 2181586
Year: 1963 | Value: 2210919
Year: 1964 | Value: 2240623
Year: 1965 | Value: 2265919
Year: 1966 | Value: 2283217
Year: 1967 | Value: 2301220
Year: 1968 | Value: 2323619
Year: 1969 | Value: 2343173
Year: 1970 | Value: 2359164
Year: 1971 | Value: 2376389
Year: 1972 | Value: 2395674
Year: 1973 | Value: 2415819
Year: 1974 | Value: 2437186
Year: 1975 | Value: 2456130
Year: 1976 | Value: 2470989
Year: 1977 | Value: 2485073
Year: 1978 | Value: 2497921
Year: 1979 | Value: 2505953
Year: 1980 | Value: 2511701
Year: 1981 | Value: 2519421
Year: 1982 | Value: 2531080
Year: 1983 | Value: 2546011
Year: 1984 | Value: 2562047
Year: 1985 | Value: 2578873
Year: 1986 | Value: 2599892
Year: 1987 | Value: 2626583
Year: 1988 | Value: 2653434
Year: 1989 | Value: 2666955
Year: 1990 | Value: 2663151
Year: 1991 | Value: 2650581
Year: 1992 | Value: 2614338
Year: 1993 | Value: 2563290
Year: 1994 | Value: 2520742
Year: 1995 | Value: 2485056
Year: 1996 | Value: 2457222
Year: 1997 | Value: 2432851
Year: 1998 | Value: 2410019
Year: 1999 | Value: 2390482
Year: 2000 | Value: 2367550
Year: 2001 | Value: 2337170
Year: 2002 | Value: 2310173
Year: 2003 | Value: 2287955
Year: 2004 | Value: 2263122
Year: 2005 | Value: 2238799
Year: 2006 | Value: 2218357
Year: 2007 | Value: 2200325
Year: 2008 | Value: 2177322
Year: 2009 | Value: 2141669
Year: 2010 | Value: 2097555
Year: 2011 | Value: 2059709
Year: 2012 | Value: 2034319
Year: 2013 | Value: 2012647
Year: 2014 | Value: 1993782
Year: 2015 | Value: 1977527
Year: 2016 | Value: 1959537
Year: 2017 | Value: 1942248
Year: 2018 | Value: 1927174
Year: 2019 | Value: 1913822
Year: 2020 | Value: 1900449
Year: 2021 | Value: 1884490
Year: 2022 | Value: 1879383
Year: 2023 | Value: 1883710
Year: 2024 | Value: 1866124
Remark: Latvia
Remark: Population, total
