Entity: MAF / SP.POP.TOTL
Year: 1960 | Value: 4250
Year: 1961 | Value: 4386
Year: 1962 | Value: 4527
Year: 1963 | Value: 4673
Year: 1964 | Value: 4827
Year: 1965 | Value: 4996
Year: 1966 | Value: 5213
Year: 1967 | Value: 5472
Year: 1968 | Value: 5693
Year: 1969 | Value: 5868
Year: 1970 | Value: 6047
Year: 1971 | Value: 6228
Year: 1972 | Value: 6409
Year: 1973 | Value: 6596
Year: 1974 | Value: 6801
Year: 1975 | Value: 7038
Year: 1976 | Value: 7303
Year: 1977 | Value: 7569
Year: 1978 | Value: 7822
Year: 1979 | Value: 8063
Year: 1980 | Value: 8288
Year: 1981 | Value: 8498
Year: 1982 | Value: 9494
Year: 1983 | Value: 11485
Year: 1984 | Value: 13733
Year: 1985 | Value: 16095
Year: 1986 | Value: 18558
Year: 1987 | Value: 21108
Year: 1988 | Value: 23749
Year: 1989 | Value: 26453
Year: 1990 | Value: 28224
Year: 1991 | Value: 28800
Year: 1992 | Value: 29081
Year: 1993 | Value: 29282
Year: 1994 | Value: 29413
Year: 1995 | Value: 29470
Year: 1996 | Value: 29443
Year: 1997 | Value: 29323
Year: 1998 | Value: 29107
Year: 1999 | Value: 29284
Year: 2000 | Value: 29996
Year: 2001 | Value: 30803
Year: 2002 | Value: 31604
Year: 2003 | Value: 32395
Year: 2004 | Value: 33171
Year: 2005 | Value: 33928
Year: 2006 | Value: 34658
Year: 2007 | Value: 35337
Year: 2008 | Value: 35958
Year: 2009 | Value: 36502
Year: 2010 | Value: 36856
Year: 2011 | Value: 37069
Year: 2012 | Value: 37276
Year: 2013 | Value: 37419
Year: 2014 | Value: 37450
Year: 2015 | Value: 37369
Year: 2016 | Value: 37175
Year: 2017 | Value: 36837
Year: 2018 | Value: 36012
Year: 2019 | Value: 34267
Year: 2020 | Value: 31786
Year: 2021 | Value: 29961
Year: 2022 | Value: 28870
Year: 2023 | Value: 27515
Year: 2024 | Value: 26129
Remark: St. Martin (French part)
Remark: Population, total
