Entity: MLI / SP.POP.TOTL
Year: 1960 | Value: 5402550
Year: 1961 | Value: 5482283
Year: 1962 | Value: 5563917
Year: 1963 | Value: 5646605
Year: 1964 | Value: 5730125
Year: 1965 | Value: 5815487
Year: 1966 | Value: 5902204
Year: 1967 | Value: 5990906
Year: 1968 | Value: 6082979
Year: 1969 | Value: 6177704
Year: 1970 | Value: 6276472
Year: 1971 | Value: 6377944
Year: 1972 | Value: 6483726
Year: 1973 | Value: 6597106
Year: 1974 | Value: 6715436
Year: 1975 | Value: 6837261
Year: 1976 | Value: 6960979
Year: 1977 | Value: 7090979
Year: 1978 | Value: 7229651
Year: 1979 | Value: 7375266
Year: 1980 | Value: 7530515
Year: 1981 | Value: 7692766
Year: 1982 | Value: 7860194
Year: 1983 | Value: 8034400
Year: 1984 | Value: 8208599
Year: 1985 | Value: 8374663
Year: 1986 | Value: 8531277
Year: 1987 | Value: 8681164
Year: 1988 | Value: 8833996
Year: 1989 | Value: 8999938
Year: 1990 | Value: 9178830
Year: 1991 | Value: 9362888
Year: 1992 | Value: 9553540
Year: 1993 | Value: 9754786
Year: 1994 | Value: 9967031
Year: 1995 | Value: 10185365
Year: 1996 | Value: 10407278
Year: 1997 | Value: 10646495
Year: 1998 | Value: 10919573
Year: 1999 | Value: 11227415
Year: 2000 | Value: 11559290
Year: 2001 | Value: 11912158
Year: 2002 | Value: 12288050
Year: 2003 | Value: 12684955
Year: 2004 | Value: 13102409
Year: 2005 | Value: 13538647
Year: 2006 | Value: 13990139
Year: 2007 | Value: 14457775
Year: 2008 | Value: 14940782
Year: 2009 | Value: 15435539
Year: 2010 | Value: 15945198
Year: 2011 | Value: 16469049
Year: 2012 | Value: 16957033
Year: 2013 | Value: 17459615
Year: 2014 | Value: 18020267
Year: 2015 | Value: 18593022
Year: 2016 | Value: 19191289
Year: 2017 | Value: 19813011
Year: 2018 | Value: 20442030
Year: 2019 | Value: 21068405
Year: 2020 | Value: 21713836
Year: 2021 | Value: 22388630
Year: 2022 | Value: 23072640
Year: 2023 | Value: 23769127
Year: 2024 | Value: 24478595
Remark: Mali
Remark: Population, total
