Entity: MNG / SP.POP.TOTL
Year: 1960 | Value: 977595
Year: 1961 | Value: 1009284
Year: 1962 | Value: 1041444
Year: 1963 | Value: 1071362
Year: 1964 | Value: 1100234
Year: 1965 | Value: 1131177
Year: 1966 | Value: 1163754
Year: 1967 | Value: 1196996
Year: 1968 | Value: 1229930
Year: 1969 | Value: 1262284
Year: 1970 | Value: 1295272
Year: 1971 | Value: 1330071
Year: 1972 | Value: 1366821
Year: 1973 | Value: 1405502
Year: 1974 | Value: 1446050
Year: 1975 | Value: 1488296
Year: 1976 | Value: 1531945
Year: 1977 | Value: 1576245
Year: 1978 | Value: 1619468
Year: 1979 | Value: 1660659
Year: 1980 | Value: 1701335
Year: 1981 | Value: 1742857
Year: 1982 | Value: 1785364
Year: 1983 | Value: 1829092
Year: 1984 | Value: 1874349
Year: 1985 | Value: 1921514
Year: 1986 | Value: 1970965
Year: 1987 | Value: 2022800
Year: 1988 | Value: 2076322
Year: 1989 | Value: 2124185
Year: 1990 | Value: 2098710
Year: 1991 | Value: 2165342
Year: 1992 | Value: 2167790
Year: 1993 | Value: 2165130
Year: 1994 | Value: 2189395
Year: 1995 | Value: 2224945
Year: 1996 | Value: 2259507
Year: 1997 | Value: 2291750
Year: 1998 | Value: 2323809
Year: 1999 | Value: 2356813
Year: 2000 | Value: 2388299
Year: 2001 | Value: 2417751
Year: 2002 | Value: 2449027
Year: 2003 | Value: 2480374
Year: 2004 | Value: 2508412
Year: 2005 | Value: 2536407
Year: 2006 | Value: 2567168
Year: 2007 | Value: 2601850
Year: 2008 | Value: 2643201
Year: 2009 | Value: 2691115
Year: 2010 | Value: 2738622
Year: 2011 | Value: 2786317
Year: 2012 | Value: 2839705
Year: 2013 | Value: 2899011
Year: 2014 | Value: 2963113
Year: 2015 | Value: 3026864
Year: 2016 | Value: 3088856
Year: 2017 | Value: 3148917
Year: 2018 | Value: 3208189
Year: 2019 | Value: 3267673
Year: 2020 | Value: 3327204
Year: 2021 | Value: 3383741
Year: 2022 | Value: 3433748
Year: 2023 | Value: 3481145
Year: 2024 | Value: 3524788
Remark: Mongolia
Remark: Population, total
