Entity: MNP / SP.POP.TOTL
Year: 1960 | Value: 8736
Year: 1961 | Value: 8995
Year: 1962 | Value: 9280
Year: 1963 | Value: 9595
Year: 1964 | Value: 9925
Year: 1965 | Value: 10264
Year: 1966 | Value: 10612
Year: 1967 | Value: 10749
Year: 1968 | Value: 10468
Year: 1969 | Value: 9989
Year: 1970 | Value: 10170
Year: 1971 | Value: 11271
Year: 1972 | Value: 12636
Year: 1973 | Value: 13880
Year: 1974 | Value: 14655
Year: 1975 | Value: 15065
Year: 1976 | Value: 15438
Year: 1977 | Value: 15787
Year: 1978 | Value: 16130
Year: 1979 | Value: 16488
Year: 1980 | Value: 17625
Year: 1981 | Value: 19826
Year: 1982 | Value: 22350
Year: 1983 | Value: 24936
Year: 1984 | Value: 27575
Year: 1985 | Value: 30258
Year: 1986 | Value: 32980
Year: 1987 | Value: 35736
Year: 1988 | Value: 38519
Year: 1989 | Value: 41303
Year: 1990 | Value: 43342
Year: 1991 | Value: 44393
Year: 1992 | Value: 45181
Year: 1993 | Value: 45952
Year: 1994 | Value: 46730
Year: 1995 | Value: 48176
Year: 1996 | Value: 51706
Year: 1997 | Value: 56596
Year: 1998 | Value: 61337
Year: 1999 | Value: 65916
Year: 2000 | Value: 68356
Year: 2001 | Value: 67984
Year: 2002 | Value: 66778
Year: 2003 | Value: 65421
Year: 2004 | Value: 63938
Year: 2005 | Value: 62354
Year: 2006 | Value: 60682
Year: 2007 | Value: 58941
Year: 2008 | Value: 57150
Year: 2009 | Value: 55325
Year: 2010 | Value: 54091
Year: 2011 | Value: 53608
Year: 2012 | Value: 53234
Year: 2013 | Value: 52758
Year: 2014 | Value: 52178
Year: 2015 | Value: 51514
Year: 2016 | Value: 50773
Year: 2017 | Value: 49959
Year: 2018 | Value: 49077
Year: 2019 | Value: 48129
Year: 2020 | Value: 47528
Year: 2021 | Value: 46979
Year: 2022 | Value: 46078
Year: 2023 | Value: 45143
Year: 2024 | Value: 44278
Remark: Northern Mariana Islands
Remark: Population, total
