Entity: PRT / SP.POP.TOTL
Year: 1960 | Value: 8857716
Year: 1961 | Value: 8929316
Year: 1962 | Value: 8993985
Year: 1963 | Value: 9030355
Year: 1964 | Value: 9035365
Year: 1965 | Value: 8998595
Year: 1966 | Value: 8930990
Year: 1967 | Value: 8874520
Year: 1968 | Value: 8836650
Year: 1969 | Value: 8757705
Year: 1970 | Value: 8680431
Year: 1971 | Value: 8643756
Year: 1972 | Value: 8630430
Year: 1973 | Value: 8633100
Year: 1974 | Value: 8754365
Year: 1975 | Value: 9093470
Year: 1976 | Value: 9355810
Year: 1977 | Value: 9455675
Year: 1978 | Value: 9558250
Year: 1979 | Value: 9661265
Year: 1980 | Value: 9766312
Year: 1981 | Value: 9851362
Year: 1982 | Value: 9911771
Year: 1983 | Value: 9957865
Year: 1984 | Value: 9996232
Year: 1985 | Value: 10023613
Year: 1986 | Value: 10032734
Year: 1987 | Value: 10030031
Year: 1988 | Value: 10019610
Year: 1989 | Value: 10005000
Year: 1990 | Value: 9983218
Year: 1991 | Value: 9960235
Year: 1992 | Value: 9952494
Year: 1993 | Value: 9964675
Year: 1994 | Value: 9991525
Year: 1995 | Value: 10026176
Year: 1996 | Value: 10063945
Year: 1997 | Value: 10108977
Year: 1998 | Value: 10160196
Year: 1999 | Value: 10217828
Year: 2000 | Value: 10289898
Year: 2001 | Value: 10362722
Year: 2002 | Value: 10419631
Year: 2003 | Value: 10458821
Year: 2004 | Value: 10483861
Year: 2005 | Value: 10503330
Year: 2006 | Value: 10522288
Year: 2007 | Value: 10542964
Year: 2008 | Value: 10558177
Year: 2009 | Value: 10568247
Year: 2010 | Value: 10573100
Year: 2011 | Value: 10557560
Year: 2012 | Value: 10514844
Year: 2013 | Value: 10457295
Year: 2014 | Value: 10401062
Year: 2015 | Value: 10358076
Year: 2016 | Value: 10325452
Year: 2017 | Value: 10300300
Year: 2018 | Value: 10283822
Year: 2019 | Value: 10286263
Year: 2020 | Value: 10297081
Year: 2021 | Value: 10361831
Year: 2022 | Value: 10434332
Year: 2023 | Value: 10578174
Year: 2024 | Value: 10694681
Remark: Portugal
Remark: Population, total
