Entity: TJK / SP.POP.TOTL
Year: 1960 | Value: 2112131
Year: 1961 | Value: 2181805
Year: 1962 | Value: 2255026
Year: 1963 | Value: 2331736
Year: 1964 | Value: 2411260
Year: 1965 | Value: 2492998
Year: 1966 | Value: 2577184
Year: 1967 | Value: 2664130
Year: 1968 | Value: 2753848
Year: 1969 | Value: 2845273
Year: 1970 | Value: 2936779
Year: 1971 | Value: 3028837
Year: 1972 | Value: 3123691
Year: 1973 | Value: 3222290
Year: 1974 | Value: 3324499
Year: 1975 | Value: 3430425
Year: 1976 | Value: 3540076
Year: 1977 | Value: 3653265
Year: 1978 | Value: 3768508
Year: 1979 | Value: 3882691
Year: 1980 | Value: 3995256
Year: 1981 | Value: 4109022
Year: 1982 | Value: 4227171
Year: 1983 | Value: 4350874
Year: 1984 | Value: 4480026
Year: 1985 | Value: 4619003
Year: 1986 | Value: 4772139
Year: 1987 | Value: 4939059
Year: 1988 | Value: 5114989
Year: 1989 | Value: 5267249
Year: 1990 | Value: 5398768
Year: 1991 | Value: 5541205
Year: 1992 | Value: 5649400
Year: 1993 | Value: 5724993
Year: 1994 | Value: 5825368
Year: 1995 | Value: 5948584
Year: 1996 | Value: 6066523
Year: 1997 | Value: 6139829
Year: 1998 | Value: 6176397
Year: 1999 | Value: 6208370
Year: 2000 | Value: 6284735
Year: 2001 | Value: 6407377
Year: 2002 | Value: 6531669
Year: 2003 | Value: 6658575
Year: 2004 | Value: 6790547
Year: 2005 | Value: 6924720
Year: 2006 | Value: 7057566
Year: 2007 | Value: 7194477
Year: 2008 | Value: 7338403
Year: 2009 | Value: 7490230
Year: 2010 | Value: 7652141
Year: 2011 | Value: 7824785
Year: 2012 | Value: 8014084
Year: 2013 | Value: 8216724
Year: 2014 | Value: 8425552
Year: 2015 | Value: 8643840
Year: 2016 | Value: 8865631
Year: 2017 | Value: 9085946
Year: 2018 | Value: 9307333
Year: 2019 | Value: 9529966
Year: 2020 | Value: 9749310
Year: 2021 | Value: 9966908
Year: 2022 | Value: 10182222
Year: 2023 | Value: 10389799
Year: 2024 | Value: 10590927
Remark: Tajikistan
Remark: Population, total
