Entity: TUR / SP.POP.TOTL
Year: 1960 | Value: 28329898
Year: 1961 | Value: 29119238
Year: 1962 | Value: 29916147
Year: 1963 | Value: 30726841
Year: 1964 | Value: 31543072
Year: 1965 | Value: 32345220
Year: 1966 | Value: 33177672
Year: 1967 | Value: 34050421
Year: 1968 | Value: 34921684
Year: 1969 | Value: 35787774
Year: 1970 | Value: 36638465
Year: 1971 | Value: 37518611
Year: 1972 | Value: 38430221
Year: 1973 | Value: 39329533
Year: 1974 | Value: 40210234
Year: 1975 | Value: 41053126
Year: 1976 | Value: 41899984
Year: 1977 | Value: 42773298
Year: 1978 | Value: 43645306
Year: 1979 | Value: 44510429
Year: 1980 | Value: 45408815
Year: 1981 | Value: 46321190
Year: 1982 | Value: 47322096
Year: 1983 | Value: 48447410
Year: 1984 | Value: 49574069
Year: 1985 | Value: 50687115
Year: 1986 | Value: 51777772
Year: 1987 | Value: 52843670
Year: 1988 | Value: 53909626
Year: 1989 | Value: 54976723
Year: 1990 | Value: 56015628
Year: 1991 | Value: 57009887
Year: 1992 | Value: 57990118
Year: 1993 | Value: 58999167
Year: 1994 | Value: 60033836
Year: 1995 | Value: 61024503
Year: 1996 | Value: 61951134
Year: 1997 | Value: 62852966
Year: 1998 | Value: 63734383
Year: 1999 | Value: 64591923
Year: 2000 | Value: 65425961
Year: 2001 | Value: 66245128
Year: 2002 | Value: 67048795
Year: 2003 | Value: 67831730
Year: 2004 | Value: 68592617
Year: 2005 | Value: 69329557
Year: 2006 | Value: 70045349
Year: 2007 | Value: 70158112
Year: 2008 | Value: 71051678
Year: 2009 | Value: 72039206
Year: 2010 | Value: 73142150
Year: 2011 | Value: 74223629
Year: 2012 | Value: 75175827
Year: 2013 | Value: 76147624
Year: 2014 | Value: 77181884
Year: 2015 | Value: 78218479
Year: 2016 | Value: 79277962
Year: 2017 | Value: 80312698
Year: 2018 | Value: 81407204
Year: 2019 | Value: 82579440
Year: 2020 | Value: 83384680
Year: 2021 | Value: 84147318
Year: 2022 | Value: 84979913
Year: 2023 | Value: 85325965
Year: 2024 | Value: 85518661
Remark: Turkiye
Remark: Population, total
