Entity: Japan
Year: 2000 | Value: 12796066.71
Year: 2001 | Value: 12254842.67
Year: 2002 | Value: 12184519.33
Year: 2003 | Value: 10824201.51
Year: 2004 | Value: 11993783.7
Year: 2005 | Value: 12433769.16
Year: 2006 | Value: 11741858.54
Year: 2007 | Value: 12024848.13
Year: 2008 | Value: 12151091.21
Year: 2009 | Value: 11461384.89
Year: 2010 | Value: 11454614.23
Year: 2011 | Value: 11657491.61
Year: 2012 | Value: 12166480.7
Year: 2013 | Value: 12264625.46
Year: 2014 | Value: 12285001.04
Year: 2015 | Value: 12141378.23
Year: 2016 | Value: 11924734.91
Year: 2017 | Value: 11903650.57
Year: 2018 | Value: 11575323.38
Year: 2019 | Value: 11843136.29
Year: 2020 | Value: 11692636.75
Year: 2021 | Value: 11989622.75
Year: 2022 | Value: 11718541.06
