Entity: Australia
Year: 2000 | Value: 18.5978917642845
Year: 2001 | Value: 18.6995326153179
Year: 2002 | Value: 18.9093269577501
Year: 2003 | Value: 18.6676694689453
Year: 2004 | Value: 19.1634087908315
Year: 2005 | Value: 19.0378039300894
Year: 2006 | Value: 19.0793285754815
Year: 2007 | Value: 19.2389222350972
Year: 2008 | Value: 19.02811960112
Year: 2009 | Value: 18.9151698120932
Year: 2010 | Value: 18.8509537372201
Year: 2011 | Value: 18.480821685778
Year: 2012 | Value: 18.1834489375025
Year: 2013 | Value: 17.5432435542019
Year: 2014 | Value: 16.8873574131124
Year: 2015 | Value: 16.8219551608068
Year: 2016 | Value: 16.8911897350521
Year: 2017 | Value: 16.7209445382487
Year: 2018 | Value: 16.3939979308791
Year: 2019 | Value: 16.1007065925773
Year: 2020 | Value: 15.3043785143331
Year: 2021 | Value: 14.9787241100123
Year: 2022 | Value: 14.530502863688
