Entity: Egypt, Arab Rep.
Year: 2000 | Value: 1.75027301728806
Year: 2001 | Value: 1.89148509278964
Year: 2002 | Value: 1.90141842765088
Year: 2003 | Value: 1.89914658738482
Year: 2004 | Value: 2.0184066565906
Year: 2005 | Value: 2.1995658648073
Year: 2006 | Value: 2.28386190572735
Year: 2007 | Value: 2.39637572755543
Year: 2008 | Value: 2.35283522329508
Year: 2009 | Value: 2.40386934022582
Year: 2010 | Value: 2.37407988100642
Year: 2011 | Value: 2.40787061503775
Year: 2012 | Value: 2.50058176167515
Year: 2013 | Value: 2.39951090462348
Year: 2014 | Value: 2.39012321445552
Year: 2015 | Value: 2.40381816615146
Year: 2016 | Value: 2.46076060182603
Year: 2017 | Value: 2.52378641552398
Year: 2018 | Value: 2.42443152195678
Year: 2019 | Value: 2.20383858928624
Year: 2020 | Value: 2.25205800434348
Year: 2021 | Value: 2.35795200966486
Year: 2022 | Value: 2.29974804261299
