Entity: Indonesia
Year: 2000 | Value: 1.38408579613851
Year: 2001 | Value: 1.45853518944239
Year: 2002 | Value: 1.46310550665851
Year: 2003 | Value: 1.57132250644049
Year: 2004 | Value: 1.58011931285841
Year: 2005 | Value: 1.57055662745946
Year: 2006 | Value: 1.63888306289882
Year: 2007 | Value: 1.69488500402322
Year: 2008 | Value: 1.6541425247205
Year: 2009 | Value: 1.69126327047376
Year: 2010 | Value: 1.80134962735397
Year: 2011 | Value: 2.00399300866727
Year: 2012 | Value: 1.9954892890649
Year: 2013 | Value: 1.85640226795234
Year: 2014 | Value: 1.95102470107868
Year: 2015 | Value: 1.95721455259026
Year: 2016 | Value: 1.91626591013332
Year: 2017 | Value: 2.00394276108737
Year: 2018 | Value: 2.20953925241911
Year: 2019 | Value: 2.33979466524606
Year: 2020 | Value: 2.16976580881181
Year: 2021 | Value: 2.24993200107532
Year: 2022 | Value: 2.5918955237502
