Entity: Japan
Year: 2000 | Value: 9.80406329083986
Year: 2001 | Value: 9.67360734256659
Year: 2002 | Value: 9.92193416768018
Year: 2003 | Value: 9.95886797475689
Year: 2004 | Value: 9.91730575058116
Year: 2005 | Value: 10.0074734098753
Year: 2006 | Value: 9.82400472413847
Year: 2007 | Value: 10.0916024093562
Year: 2008 | Value: 9.53253711064086
Year: 2009 | Value: 9.03961045553586
Year: 2010 | Value: 9.50311626454283
Year: 2011 | Value: 9.93397401297005
Year: 2012 | Value: 10.2516011251361
Year: 2013 | Value: 10.3847926556554
Year: 2014 | Value: 10.0063625506773
Year: 2015 | Value: 9.69456115651128
Year: 2016 | Value: 9.66865261733136
Year: 2017 | Value: 9.55283290804272
Year: 2018 | Value: 9.17213648658239
Year: 2019 | Value: 8.87456666113888
Year: 2020 | Value: 8.39710520271501
Year: 2021 | Value: 8.5947828493867
Year: 2022 | Value: 8.3956307081074
