Entity: Malaysia
Year: 2000 | Value: 5.69323613529471
Year: 2001 | Value: 5.88304152527669
Year: 2002 | Value: 6.08030867532827
Year: 2003 | Value: 6.34316955354466
Year: 2004 | Value: 6.71466646648273
Year: 2005 | Value: 7.01024161142768
Year: 2006 | Value: 7.10605067191351
Year: 2007 | Value: 7.58861945429411
Year: 2008 | Value: 7.83922878075814
Year: 2009 | Value: 7.03693732266971
Year: 2010 | Value: 7.52034773024468
Year: 2011 | Value: 7.48482299197254
Year: 2012 | Value: 7.40984230399317
Year: 2013 | Value: 7.85952532729463
Year: 2014 | Value: 8.18962008151058
Year: 2015 | Value: 8.09596053481984
Year: 2016 | Value: 7.78504411100645
Year: 2017 | Value: 7.35056919281223
Year: 2018 | Value: 7.72644571640815
Year: 2019 | Value: 7.63039929073035
Year: 2020 | Value: 7.46778698028461
Year: 2021 | Value: 7.5232628848407
Year: 2022 | Value: 7.98329915646393
