Entity: South Africa
Year: 2000 | Value: 7.36397941641679
Year: 2001 | Value: 7.51319828115408
Year: 2002 | Value: 7.72131022420827
Year: 2003 | Value: 8.11491084558816
Year: 2004 | Value: 8.69023374521021
Year: 2005 | Value: 8.81501533854301
Year: 2006 | Value: 8.81243167639557
Year: 2007 | Value: 9.10281000552084
Year: 2008 | Value: 9.54569945858325
Year: 2009 | Value: 8.83353970564321
Year: 2010 | Value: 8.87117430020844
Year: 2011 | Value: 8.37758623633968
Year: 2012 | Value: 8.57667504044573
Year: 2013 | Value: 8.68872722515024
Year: 2014 | Value: 8.75262375978144
Year: 2015 | Value: 8.14948651738695
Year: 2016 | Value: 8.03701551903542
Year: 2017 | Value: 8.14751418587147
Year: 2018 | Value: 8.077016906198
Year: 2019 | Value: 8.01412233375962
Year: 2020 | Value: 7.4445834618028
Year: 2021 | Value: 7.29340675223128
Year: 2022 | Value: 6.88263936192025
