Entity: India
Year: 2000 | Value: 4.32479000091553
Year: 2003 | Value: 3.61340999603271
Year: 2004 | Value: 3.35254001617432
Year: 2005 | Value: 3.18875002861023
Year: 2006 | Value: 3.14284992218018
Year: 2009 | Value: 3.27824997901917
Year: 2010 | Value: 3.377690076828
Year: 2011 | Value: 3.79618000984192
Year: 2012 | Value: 3.8675000667572
Year: 2013 | Value: 3.84467005729675
Year: 2014 | Value: 3.89878023242693
Year: 2015 | Value: 4.11457014083862
Year: 2016 | Value: 4.25407981872559
Year: 2017 | Value: 4.30544996261597
Year: 2018 | Value: 4.36373996734619
Year: 2019 | Value: 3.89732003211975
Year: 2020 | Value: 4.29335021972656
Year: 2021 | Value: 4.62949991226196
Year: 2022 | Value: 4.09865814174589
