Entity: Mexico
Year: 2000 | Value: 3.80870008468628
Year: 2001 | Value: 4.0313401222229
Year: 2002 | Value: 4.24307012557983
Year: 2003 | Value: 4.83262014389038
Year: 2004 | Value: 4.51204013824463
Year: 2005 | Value: 4.63395023345947
Year: 2006 | Value: 4.4931697845459
Year: 2007 | Value: 4.47921991348267
Year: 2008 | Value: 4.60609006881714
Year: 2009 | Value: 4.94933986663818
Year: 2010 | Value: 4.93695020675659
Year: 2011 | Value: 4.90405988693237
Year: 2012 | Value: 4.88348007202148
Year: 2013 | Value: 4.50858020782471
Year: 2014 | Value: 5.06808996200562
Year: 2015 | Value: 5.05087995529175
Year: 2016 | Value: 4.75795984268188
Year: 2017 | Value: 4.39752006530762
Year: 2018 | Value: 4.13945007324219
Year: 2020 | Value: 4.49967002868652
Year: 2021 | Value: 4.23823022842407
Year: 2022 | Value: 4.0658597946167
