Entity: Malaysia
Year: 2000 | Value: 8.85886816969386
Year: 2001 | Value: 0.517675319192861
Year: 2002 | Value: 5.39098830692797
Year: 2003 | Value: 5.7884992858875
Year: 2004 | Value: 6.78343772370305
Year: 2005 | Value: 5.33213916141486
Year: 2006 | Value: 5.5848470671515
Year: 2007 | Value: 6.29878592740947
Year: 2008 | Value: 4.83176988913097
Year: 2009 | Value: -1.51352871598714
Year: 2010 | Value: 7.42484738326097
Year: 2011 | Value: 5.29391283414003
Year: 2012 | Value: 5.47345419253853
Year: 2013 | Value: 4.69372252557893
Year: 2014 | Value: 6.00672194558203
Year: 2015 | Value: 5.09153242155011
Year: 2016 | Value: 4.44978139761541
Year: 2017 | Value: 5.81272240983328
Year: 2018 | Value: 4.84308697634881
Year: 2019 | Value: 4.41318742129586
Year: 2020 | Value: -5.45684658426701
Year: 2021 | Value: 3.31534954399166
Year: 2022 | Value: 9.03173723044451
