Entity: Argentina
Year: 2000 | Value: 1.13312807570195
Year: 2001 | Value: 1.09794672757946
Year: 2002 | Value: 1.06941318335345
Year: 2003 | Value: 1.0331399769648
Year: 2004 | Value: 1.01407652046238
Year: 2005 | Value: 1.02745772191722
Year: 2006 | Value: 1.02824760534561
Year: 2007 | Value: 0.991101935066697
Year: 2008 | Value: 1.01288878477428
Year: 2009 | Value: 1.05977470732485
Year: 2010 | Value: 1.05636332156278
Year: 2011 | Value: 1.06474009749784
Year: 2012 | Value: 1.0276613644946
Year: 2013 | Value: 0.992958989681133
Year: 2014 | Value: 1.0317435786984
Year: 2015 | Value: 1.04725888735726
Year: 2016 | Value: 0.968911125580978
Year: 2017 | Value: 0.881249595012674
Year: 2018 | Value: 0.822969480473088
Year: 2019 | Value: 0.710900853077743
Year: 2020 | Value: 0.484665636741261
Year: 2021 | Value: 0.265879395046274
Year: 2022 | Value: 0.210808731072658
