Entity: Egypt, Arab Rep.
Year: 2000 | Value: 2.16091978529782
Year: 2001 | Value: 2.12380362345226
Year: 2002 | Value: 2.10372359745955
Year: 2003 | Value: 2.09545323003183
Year: 2004 | Value: 2.06437734857129
Year: 2005 | Value: 2.02220952721924
Year: 2006 | Value: 1.95291342300488
Year: 2007 | Value: 1.88753217077119
Year: 2008 | Value: 1.86740413264217
Year: 2009 | Value: 1.88836522446639
Year: 2010 | Value: 1.91795124102801
Year: 2011 | Value: 2.1044607622412
Year: 2012 | Value: 2.24475795490011
Year: 2013 | Value: 2.30526364315625
Year: 2014 | Value: 2.27643956620182
Year: 2015 | Value: 2.09892554805563
Year: 2016 | Value: 2.03468294927084
Year: 2017 | Value: 1.99817843887244
Year: 2018 | Value: 1.89713831833082
Year: 2019 | Value: 1.75497438173801
Year: 2020 | Value: 1.62495386951696
Year: 2021 | Value: 1.4908053906311
Year: 2022 | Value: 1.48609697540294
