Entity: Germany
Year: 2000 | Value: 0.135431600393084
Year: 2001 | Value: 0.168225361337335
Year: 2002 | Value: 0.168128319406931
Year: 2003 | Value: 0.0553633035873241
Year: 2004 | Value: -0.021709727650009
Year: 2005 | Value: -0.0567782618352031
Year: 2006 | Value: -0.112797497644931
Year: 2007 | Value: -0.133718572600486
Year: 2008 | Value: -0.190142844695674
Year: 2009 | Value: -0.253383410163402
Year: 2010 | Value: -0.153198446937304
Year: 2011 | Value: -1.8537146287573
Year: 2012 | Value: 0.187727800567293
Year: 2013 | Value: 0.272900214681538
Year: 2014 | Value: 0.416877359168292
Year: 2015 | Value: 0.865702643950251
Year: 2016 | Value: 0.807218538573871
Year: 2017 | Value: 0.373724559895838
Year: 2018 | Value: 0.300526701992065
Year: 2019 | Value: 0.22551987421288
Year: 2020 | Value: 0.0816931586494595
Year: 2021 | Value: 0.0423270572552137
Year: 2022 | Value: -0.0219565701848977
