Entity: India
Year: 2000 | Value: 1.87939826197393
Year: 2001 | Value: 1.87060822112685
Year: 2002 | Value: 1.81129424097937
Year: 2003 | Value: 1.73438204419235
Year: 2004 | Value: 1.7035704679088
Year: 2005 | Value: 1.63142146860079
Year: 2006 | Value: 1.56412522526913
Year: 2007 | Value: 1.50599144392136
Year: 2008 | Value: 1.43877181746736
Year: 2009 | Value: 1.44601731955273
Year: 2010 | Value: 1.45460361883041
Year: 2011 | Value: 1.41682761544376
Year: 2012 | Value: 1.37405616603306
Year: 2013 | Value: 1.33270430507476
Year: 2014 | Value: 1.26129027125347
Year: 2015 | Value: 1.19285563384335
Year: 2016 | Value: 1.19162966402099
Year: 2017 | Value: 1.1623961434697
Year: 2018 | Value: 1.09729906702925
Year: 2019 | Value: 1.04001395098104
Year: 2020 | Value: 0.973438646910149
Year: 2021 | Value: 0.822648220128724
Year: 2022 | Value: 0.790200540609834
