Entity: Malaysia
Year: 2000 | Value: 3.0
Year: 2001 | Value: 3.53
Year: 2002 | Value: 3.48
Year: 2003 | Value: 3.61
Year: 2004 | Value: 3.54
Year: 2005 | Value: 3.53
Year: 2006 | Value: 3.32
Year: 2007 | Value: 3.31
Year: 2008 | Value: 3.34
Year: 2009 | Value: 3.62
Year: 2010 | Value: 3.32
Year: 2011 | Value: 3.05
Year: 2012 | Value: 3.04
Year: 2013 | Value: 3.14
Year: 2014 | Value: 2.88
Year: 2015 | Value: 3.1
Year: 2016 | Value: 3.44
Year: 2017 | Value: 3.41
Year: 2018 | Value: 3.3
Year: 2019 | Value: 3.33
Year: 2020 | Value: 4.54
Year: 2021 | Value: 4.64
Year: 2022 | Value: 3.93
