Record: Australia (AUS), indicator=Maternal_Mortality_Ratio
Australia observed maternal_mortality_year2000=7 per 100,000 live births.
Australia observed maternal_mortality_year2001=6 per 100,000 live births.
Australia observed maternal_mortality_year2002=6 per 100,000 live births.
Australia observed maternal_mortality_year2003=5 per 100,000 live births.
Australia observed maternal_mortality_year2004=5 per 100,000 live births.
Australia observed maternal_mortality_year2005=5 per 100,000 live births.
Australia observed maternal_mortality_year2006=5 per 100,000 live births.
Australia observed maternal_mortality_year2007=5 per 100,000 live births.
Australia observed maternal_mortality_year2008=5 per 100,000 live births.
Australia observed maternal_mortality_year2009=5 per 100,000 live births.
Australia observed maternal_mortality_year2010=5 per 100,000 live births.
Australia observed maternal_mortality_year2011=6 per 100,000 live births.
Australia observed maternal_mortality_year2012=6 per 100,000 live births.
Australia observed maternal_mortality_year2013=6 per 100,000 live births.
Australia observed maternal_mortality_year2014=6 per 100,000 live births.
Australia observed maternal_mortality_year2015=6 per 100,000 live births.
Australia observed maternal_mortality_year2016=6 per 100,000 live births.
Australia observed maternal_mortality_year2017=6 per 100,000 live births.
Australia observed maternal_mortality_year2018=5 per 100,000 live births.
Australia observed maternal_mortality_year2019=5 per 100,000 live births.
Australia observed maternal_mortality_year2020=5 per 100,000 live births.
Australia observed maternal_mortality_year2021=4 per 100,000 live births.
