Record: Bahrain (BHR), indicator=Maternal_Mortality_Ratio
Bahrain observed maternal_mortality_year2000=25 per 100,000 live births.
Bahrain observed maternal_mortality_year2001=24 per 100,000 live births.
Bahrain observed maternal_mortality_year2002=23 per 100,000 live births.
Bahrain observed maternal_mortality_year2003=22 per 100,000 live births.
Bahrain observed maternal_mortality_year2004=21 per 100,000 live births.
Bahrain observed maternal_mortality_year2005=20 per 100,000 live births.
Bahrain observed maternal_mortality_year2006=20 per 100,000 live births.
Bahrain observed maternal_mortality_year2007=19 per 100,000 live births.
Bahrain observed maternal_mortality_year2008=19 per 100,000 live births.
Bahrain observed maternal_mortality_year2009=18 per 100,000 live births.
Bahrain observed maternal_mortality_year2010=18 per 100,000 live births.
Bahrain observed maternal_mortality_year2011=18 per 100,000 live births.
Bahrain observed maternal_mortality_year2012=17 per 100,000 live births.
Bahrain observed maternal_mortality_year2013=17 per 100,000 live births.
Bahrain observed maternal_mortality_year2014=16 per 100,000 live births.
Bahrain observed maternal_mortality_year2015=16 per 100,000 live births.
Bahrain observed maternal_mortality_year2016=17 per 100,000 live births.
Bahrain observed maternal_mortality_year2017=17 per 100,000 live births.
Bahrain observed maternal_mortality_year2018=16 per 100,000 live births.
Bahrain observed maternal_mortality_year2019=17 per 100,000 live births.
Bahrain observed maternal_mortality_year2020=7 per 100,000 live births.
Bahrain observed maternal_mortality_year2021=10 per 100,000 live births.
