Record: Bosnia and Herzegovina (BIH), indicator=Maternal_Mortality_Ratio
Bosnia and Herzegovina observed maternal_mortality_year2000=11 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2001=11 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2002=10 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2003=10 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2004=10 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2005=9 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2006=9 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2007=9 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2008=8 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2009=8 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2010=8 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2011=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2012=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2013=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2014=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2015=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2016=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2017=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2018=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2019=6 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2020=7 per 100,000 live births.
Bosnia and Herzegovina observed maternal_mortality_year2021=13 per 100,000 live births.
