Record: Brazil (BRA), indicator=Maternal_Mortality_Ratio
Brazil observed maternal_mortality_year2000=69 per 100,000 live births.
Brazil observed maternal_mortality_year2001=66 per 100,000 live births.
Brazil observed maternal_mortality_year2002=66 per 100,000 live births.
Brazil observed maternal_mortality_year2003=67 per 100,000 live births.
Brazil observed maternal_mortality_year2004=70 per 100,000 live births.
Brazil observed maternal_mortality_year2005=71 per 100,000 live births.
Brazil observed maternal_mortality_year2006=72 per 100,000 live births.
Brazil observed maternal_mortality_year2007=73 per 100,000 live births.
Brazil observed maternal_mortality_year2008=71 per 100,000 live births.
Brazil observed maternal_mortality_year2009=69 per 100,000 live births.
Brazil observed maternal_mortality_year2010=66 per 100,000 live births.
Brazil observed maternal_mortality_year2011=62 per 100,000 live births.
Brazil observed maternal_mortality_year2012=60 per 100,000 live births.
Brazil observed maternal_mortality_year2013=61 per 100,000 live births.
Brazil observed maternal_mortality_year2014=63 per 100,000 live births.
Brazil observed maternal_mortality_year2015=63 per 100,000 live births.
Brazil observed maternal_mortality_year2016=64 per 100,000 live births.
Brazil observed maternal_mortality_year2017=61 per 100,000 live births.
Brazil observed maternal_mortality_year2018=62 per 100,000 live births.
Brazil observed maternal_mortality_year2019=65 per 100,000 live births.
Brazil observed maternal_mortality_year2020=85 per 100,000 live births.
Brazil observed maternal_mortality_year2021=128 per 100,000 live births.
