Record: Barbados (BRB), indicator=Maternal_Mortality_Ratio
Barbados observed maternal_mortality_year2000=46 per 100,000 live births.
Barbados observed maternal_mortality_year2001=46 per 100,000 live births.
Barbados observed maternal_mortality_year2002=43 per 100,000 live births.
Barbados observed maternal_mortality_year2003=45 per 100,000 live births.
Barbados observed maternal_mortality_year2004=43 per 100,000 live births.
Barbados observed maternal_mortality_year2005=44 per 100,000 live births.
Barbados observed maternal_mortality_year2006=45 per 100,000 live births.
Barbados observed maternal_mortality_year2007=42 per 100,000 live births.
Barbados observed maternal_mortality_year2008=42 per 100,000 live births.
Barbados observed maternal_mortality_year2009=42 per 100,000 live births.
Barbados observed maternal_mortality_year2010=42 per 100,000 live births.
Barbados observed maternal_mortality_year2011=41 per 100,000 live births.
Barbados observed maternal_mortality_year2012=40 per 100,000 live births.
Barbados observed maternal_mortality_year2013=40 per 100,000 live births.
Barbados observed maternal_mortality_year2014=39 per 100,000 live births.
Barbados observed maternal_mortality_year2015=37 per 100,000 live births.
Barbados observed maternal_mortality_year2016=36 per 100,000 live births.
Barbados observed maternal_mortality_year2017=37 per 100,000 live births.
Barbados observed maternal_mortality_year2018=37 per 100,000 live births.
Barbados observed maternal_mortality_year2019=36 per 100,000 live births.
Barbados observed maternal_mortality_year2020=39 per 100,000 live births.
Barbados observed maternal_mortality_year2021=38 per 100,000 live births.
