Record: Central African Republic (CAF), indicator=Maternal_Mortality_Ratio
Central African Republic observed maternal_mortality_year2000=1490 per 100,000 live births.
Central African Republic observed maternal_mortality_year2001=1504 per 100,000 live births.
Central African Republic observed maternal_mortality_year2002=1496 per 100,000 live births.
Central African Republic observed maternal_mortality_year2003=1487 per 100,000 live births.
Central African Republic observed maternal_mortality_year2004=1450 per 100,000 live births.
Central African Republic observed maternal_mortality_year2005=1389 per 100,000 live births.
Central African Republic observed maternal_mortality_year2006=1337 per 100,000 live births.
Central African Republic observed maternal_mortality_year2007=1271 per 100,000 live births.
Central African Republic observed maternal_mortality_year2008=1234 per 100,000 live births.
Central African Republic observed maternal_mortality_year2009=1272 per 100,000 live births.
Central African Republic observed maternal_mortality_year2010=1230 per 100,000 live births.
Central African Republic observed maternal_mortality_year2011=1131 per 100,000 live births.
Central African Republic observed maternal_mortality_year2012=1092 per 100,000 live births.
Central African Republic observed maternal_mortality_year2013=1092 per 100,000 live births.
Central African Republic observed maternal_mortality_year2014=1034 per 100,000 live births.
Central African Republic observed maternal_mortality_year2015=981 per 100,000 live births.
Central African Republic observed maternal_mortality_year2016=962 per 100,000 live births.
Central African Republic observed maternal_mortality_year2017=1093 per 100,000 live births.
Central African Republic observed maternal_mortality_year2018=881 per 100,000 live births.
Central African Republic observed maternal_mortality_year2019=1650 per 100,000 live births.
Central African Republic observed maternal_mortality_year2020=1296 per 100,000 live births.
Central African Republic observed maternal_mortality_year2021=1127 per 100,000 live births.
