Record: Congo, Dem. Rep. (COD), indicator=Maternal_Mortality_Ratio
Congo, Dem. Rep. observed maternal_mortality_year2000=585 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2001=588 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2002=601 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2003=605 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2004=607 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2005=613 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2006=619 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2007=631 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2008=620 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2009=608 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2010=601 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2011=589 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2012=578 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2013=567 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2014=558 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2015=545 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2016=526 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2017=519 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2018=508 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2019=493 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2020=489 per 100,000 live births.
Congo, Dem. Rep. observed maternal_mortality_year2021=507 per 100,000 live births.
