Record: Cyprus (CYP), indicator=Maternal_Mortality_Ratio
Cyprus observed maternal_mortality_year2000=12 per 100,000 live births.
Cyprus observed maternal_mortality_year2001=11 per 100,000 live births.
Cyprus observed maternal_mortality_year2002=11 per 100,000 live births.
Cyprus observed maternal_mortality_year2003=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2004=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2005=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2006=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2007=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2008=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2009=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2010=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2011=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2012=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2013=10 per 100,000 live births.
Cyprus observed maternal_mortality_year2014=11 per 100,000 live births.
Cyprus observed maternal_mortality_year2015=11 per 100,000 live births.
Cyprus observed maternal_mortality_year2016=12 per 100,000 live births.
Cyprus observed maternal_mortality_year2017=12 per 100,000 live births.
Cyprus observed maternal_mortality_year2018=13 per 100,000 live births.
Cyprus observed maternal_mortality_year2019=13 per 100,000 live births.
Cyprus observed maternal_mortality_year2020=87 per 100,000 live births.
Cyprus observed maternal_mortality_year2021=98 per 100,000 live births.
