Record: Germany (DEU), indicator=Maternal_Mortality_Ratio
Germany observed maternal_mortality_year2000=7 per 100,000 live births.
Germany observed maternal_mortality_year2001=6 per 100,000 live births.
Germany observed maternal_mortality_year2002=6 per 100,000 live births.
Germany observed maternal_mortality_year2003=6 per 100,000 live births.
Germany observed maternal_mortality_year2004=6 per 100,000 live births.
Germany observed maternal_mortality_year2005=6 per 100,000 live births.
Germany observed maternal_mortality_year2006=6 per 100,000 live births.
Germany observed maternal_mortality_year2007=5 per 100,000 live births.
Germany observed maternal_mortality_year2008=6 per 100,000 live births.
Germany observed maternal_mortality_year2009=6 per 100,000 live births.
Germany observed maternal_mortality_year2010=5 per 100,000 live births.
Germany observed maternal_mortality_year2011=5 per 100,000 live births.
Germany observed maternal_mortality_year2012=5 per 100,000 live births.
Germany observed maternal_mortality_year2013=5 per 100,000 live births.
Germany observed maternal_mortality_year2014=5 per 100,000 live births.
Germany observed maternal_mortality_year2015=5 per 100,000 live births.
Germany observed maternal_mortality_year2016=4 per 100,000 live births.
Germany observed maternal_mortality_year2017=4 per 100,000 live births.
Germany observed maternal_mortality_year2018=4 per 100,000 live births.
Germany observed maternal_mortality_year2019=4 per 100,000 live births.
Germany observed maternal_mortality_year2020=4 per 100,000 live births.
Germany observed maternal_mortality_year2021=4 per 100,000 live births.
