Record: Egypt, Arab Rep. (EGY), indicator=Maternal_Mortality_Ratio
Egypt, Arab Rep. observed maternal_mortality_year2000=53 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2001=50 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2002=48 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2003=45 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2004=43 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2005=41 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2006=40 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2007=38 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2008=36 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2009=34 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2010=32 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2011=31 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2012=29 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2013=27 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2014=26 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2015=24 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2016=23 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2017=21 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2018=20 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2019=19 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2020=31 per 100,000 live births.
Egypt, Arab Rep. observed maternal_mortality_year2021=42 per 100,000 live births.
