Record: Eritrea (ERI), indicator=Maternal_Mortality_Ratio
Eritrea observed maternal_mortality_year2000=741 per 100,000 live births.
Eritrea observed maternal_mortality_year2001=651 per 100,000 live births.
Eritrea observed maternal_mortality_year2002=636 per 100,000 live births.
Eritrea observed maternal_mortality_year2003=588 per 100,000 live births.
Eritrea observed maternal_mortality_year2004=588 per 100,000 live births.
Eritrea observed maternal_mortality_year2005=567 per 100,000 live births.
Eritrea observed maternal_mortality_year2006=555 per 100,000 live births.
Eritrea observed maternal_mortality_year2007=541 per 100,000 live births.
Eritrea observed maternal_mortality_year2008=530 per 100,000 live births.
Eritrea observed maternal_mortality_year2009=515 per 100,000 live births.
Eritrea observed maternal_mortality_year2010=498 per 100,000 live births.
Eritrea observed maternal_mortality_year2011=478 per 100,000 live births.
Eritrea observed maternal_mortality_year2012=458 per 100,000 live births.
Eritrea observed maternal_mortality_year2013=443 per 100,000 live births.
Eritrea observed maternal_mortality_year2014=430 per 100,000 live births.
Eritrea observed maternal_mortality_year2015=413 per 100,000 live births.
Eritrea observed maternal_mortality_year2016=395 per 100,000 live births.
Eritrea observed maternal_mortality_year2017=379 per 100,000 live births.
Eritrea observed maternal_mortality_year2018=363 per 100,000 live births.
Eritrea observed maternal_mortality_year2019=351 per 100,000 live births.
Eritrea observed maternal_mortality_year2020=334 per 100,000 live births.
Eritrea observed maternal_mortality_year2021=338 per 100,000 live births.
