Record: Ethiopia (ETH), indicator=Maternal_Mortality_Ratio
Ethiopia observed maternal_mortality_year2000=870 per 100,000 live births.
Ethiopia observed maternal_mortality_year2001=856 per 100,000 live births.
Ethiopia observed maternal_mortality_year2002=826 per 100,000 live births.
Ethiopia observed maternal_mortality_year2003=797 per 100,000 live births.
Ethiopia observed maternal_mortality_year2004=764 per 100,000 live births.
Ethiopia observed maternal_mortality_year2005=754 per 100,000 live births.
Ethiopia observed maternal_mortality_year2006=729 per 100,000 live births.
Ethiopia observed maternal_mortality_year2007=704 per 100,000 live births.
Ethiopia observed maternal_mortality_year2008=678 per 100,000 live births.
Ethiopia observed maternal_mortality_year2009=649 per 100,000 live births.
Ethiopia observed maternal_mortality_year2010=619 per 100,000 live births.
Ethiopia observed maternal_mortality_year2011=588 per 100,000 live births.
Ethiopia observed maternal_mortality_year2012=545 per 100,000 live births.
Ethiopia observed maternal_mortality_year2013=494 per 100,000 live births.
Ethiopia observed maternal_mortality_year2014=444 per 100,000 live births.
Ethiopia observed maternal_mortality_year2015=401 per 100,000 live births.
Ethiopia observed maternal_mortality_year2016=364 per 100,000 live births.
Ethiopia observed maternal_mortality_year2017=327 per 100,000 live births.
Ethiopia observed maternal_mortality_year2018=297 per 100,000 live births.
Ethiopia observed maternal_mortality_year2019=269 per 100,000 live births.
Ethiopia observed maternal_mortality_year2020=244 per 100,000 live births.
Ethiopia observed maternal_mortality_year2021=250 per 100,000 live births.
