Record: Finland (FIN), indicator=Maternal_Mortality_Ratio
Finland observed maternal_mortality_year2000=7 per 100,000 live births.
Finland observed maternal_mortality_year2001=7 per 100,000 live births.
Finland observed maternal_mortality_year2002=7 per 100,000 live births.
Finland observed maternal_mortality_year2003=7 per 100,000 live births.
Finland observed maternal_mortality_year2004=7 per 100,000 live births.
Finland observed maternal_mortality_year2005=8 per 100,000 live births.
Finland observed maternal_mortality_year2006=7 per 100,000 live births.
Finland observed maternal_mortality_year2007=7 per 100,000 live births.
Finland observed maternal_mortality_year2008=7 per 100,000 live births.
Finland observed maternal_mortality_year2009=8 per 100,000 live births.
Finland observed maternal_mortality_year2010=8 per 100,000 live births.
Finland observed maternal_mortality_year2011=7 per 100,000 live births.
Finland observed maternal_mortality_year2012=8 per 100,000 live births.
Finland observed maternal_mortality_year2013=8 per 100,000 live births.
Finland observed maternal_mortality_year2014=7 per 100,000 live births.
Finland observed maternal_mortality_year2015=7 per 100,000 live births.
Finland observed maternal_mortality_year2016=7 per 100,000 live births.
Finland observed maternal_mortality_year2017=8 per 100,000 live births.
Finland observed maternal_mortality_year2018=8 per 100,000 live births.
Finland observed maternal_mortality_year2019=8 per 100,000 live births.
Finland observed maternal_mortality_year2020=9 per 100,000 live births.
Finland observed maternal_mortality_year2021=8 per 100,000 live births.
