Record: Fiji (FJI), indicator=Maternal_Mortality_Ratio
Fiji observed maternal_mortality_year2000=47 per 100,000 live births.
Fiji observed maternal_mortality_year2001=46 per 100,000 live births.
Fiji observed maternal_mortality_year2002=48 per 100,000 live births.
Fiji observed maternal_mortality_year2003=47 per 100,000 live births.
Fiji observed maternal_mortality_year2004=46 per 100,000 live births.
Fiji observed maternal_mortality_year2005=44 per 100,000 live births.
Fiji observed maternal_mortality_year2006=43 per 100,000 live births.
Fiji observed maternal_mortality_year2007=43 per 100,000 live births.
Fiji observed maternal_mortality_year2008=42 per 100,000 live births.
Fiji observed maternal_mortality_year2009=41 per 100,000 live births.
Fiji observed maternal_mortality_year2010=40 per 100,000 live births.
Fiji observed maternal_mortality_year2011=39 per 100,000 live births.
Fiji observed maternal_mortality_year2012=42 per 100,000 live births.
Fiji observed maternal_mortality_year2013=40 per 100,000 live births.
Fiji observed maternal_mortality_year2014=38 per 100,000 live births.
Fiji observed maternal_mortality_year2015=37 per 100,000 live births.
Fiji observed maternal_mortality_year2016=38 per 100,000 live births.
Fiji observed maternal_mortality_year2017=34 per 100,000 live births.
Fiji observed maternal_mortality_year2018=35 per 100,000 live births.
Fiji observed maternal_mortality_year2019=34 per 100,000 live births.
Fiji observed maternal_mortality_year2020=34 per 100,000 live births.
Fiji observed maternal_mortality_year2021=68 per 100,000 live births.
