Record: Guinea (GIN), indicator=Maternal_Mortality_Ratio
Guinea observed maternal_mortality_year2000=951 per 100,000 live births.
Guinea observed maternal_mortality_year2001=946 per 100,000 live births.
Guinea observed maternal_mortality_year2002=916 per 100,000 live births.
Guinea observed maternal_mortality_year2003=892 per 100,000 live births.
Guinea observed maternal_mortality_year2004=869 per 100,000 live births.
Guinea observed maternal_mortality_year2005=843 per 100,000 live births.
Guinea observed maternal_mortality_year2006=825 per 100,000 live births.
Guinea observed maternal_mortality_year2007=802 per 100,000 live births.
Guinea observed maternal_mortality_year2008=772 per 100,000 live births.
Guinea observed maternal_mortality_year2009=766 per 100,000 live births.
Guinea observed maternal_mortality_year2010=750 per 100,000 live births.
Guinea observed maternal_mortality_year2011=728 per 100,000 live births.
Guinea observed maternal_mortality_year2012=703 per 100,000 live births.
Guinea observed maternal_mortality_year2013=682 per 100,000 live births.
Guinea observed maternal_mortality_year2014=664 per 100,000 live births.
Guinea observed maternal_mortality_year2015=642 per 100,000 live births.
Guinea observed maternal_mortality_year2016=606 per 100,000 live births.
Guinea observed maternal_mortality_year2017=582 per 100,000 live births.
Guinea observed maternal_mortality_year2018=560 per 100,000 live births.
Guinea observed maternal_mortality_year2019=548 per 100,000 live births.
Guinea observed maternal_mortality_year2020=528 per 100,000 live births.
Guinea observed maternal_mortality_year2021=533 per 100,000 live births.
