Record: Grenada (GRD), indicator=Maternal_Mortality_Ratio
Grenada observed maternal_mortality_year2000=46 per 100,000 live births.
Grenada observed maternal_mortality_year2001=45 per 100,000 live births.
Grenada observed maternal_mortality_year2002=42 per 100,000 live births.
Grenada observed maternal_mortality_year2003=42 per 100,000 live births.
Grenada observed maternal_mortality_year2004=48 per 100,000 live births.
Grenada observed maternal_mortality_year2005=40 per 100,000 live births.
Grenada observed maternal_mortality_year2006=39 per 100,000 live births.
Grenada observed maternal_mortality_year2007=40 per 100,000 live births.
Grenada observed maternal_mortality_year2008=41 per 100,000 live births.
Grenada observed maternal_mortality_year2009=41 per 100,000 live births.
Grenada observed maternal_mortality_year2010=43 per 100,000 live births.
Grenada observed maternal_mortality_year2011=44 per 100,000 live births.
Grenada observed maternal_mortality_year2012=44 per 100,000 live births.
Grenada observed maternal_mortality_year2013=44 per 100,000 live births.
Grenada observed maternal_mortality_year2014=45 per 100,000 live births.
Grenada observed maternal_mortality_year2015=46 per 100,000 live births.
Grenada observed maternal_mortality_year2016=44 per 100,000 live births.
Grenada observed maternal_mortality_year2017=45 per 100,000 live births.
Grenada observed maternal_mortality_year2018=46 per 100,000 live births.
Grenada observed maternal_mortality_year2019=48 per 100,000 live births.
Grenada observed maternal_mortality_year2020=51 per 100,000 live births.
Grenada observed maternal_mortality_year2021=52 per 100,000 live births.
