Record: Honduras (HND), indicator=Maternal_Mortality_Ratio
Honduras observed maternal_mortality_year2000=82 per 100,000 live births.
Honduras observed maternal_mortality_year2001=78 per 100,000 live births.
Honduras observed maternal_mortality_year2002=75 per 100,000 live births.
Honduras observed maternal_mortality_year2003=75 per 100,000 live births.
Honduras observed maternal_mortality_year2004=74 per 100,000 live births.
Honduras observed maternal_mortality_year2005=73 per 100,000 live births.
Honduras observed maternal_mortality_year2006=72 per 100,000 live births.
Honduras observed maternal_mortality_year2007=72 per 100,000 live births.
Honduras observed maternal_mortality_year2008=72 per 100,000 live births.
Honduras observed maternal_mortality_year2009=71 per 100,000 live births.
Honduras observed maternal_mortality_year2010=72 per 100,000 live births.
Honduras observed maternal_mortality_year2011=68 per 100,000 live births.
Honduras observed maternal_mortality_year2012=64 per 100,000 live births.
Honduras observed maternal_mortality_year2013=62 per 100,000 live births.
Honduras observed maternal_mortality_year2014=60 per 100,000 live births.
Honduras observed maternal_mortality_year2015=57 per 100,000 live births.
Honduras observed maternal_mortality_year2016=55 per 100,000 live births.
Honduras observed maternal_mortality_year2017=53 per 100,000 live births.
Honduras observed maternal_mortality_year2018=52 per 100,000 live births.
Honduras observed maternal_mortality_year2019=51 per 100,000 live births.
Honduras observed maternal_mortality_year2020=57 per 100,000 live births.
Honduras observed maternal_mortality_year2021=88 per 100,000 live births.
