Record: Heavily indebted poor countries (HIPC) (HPC), indicator=Maternal_Mortality_Ratio
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2000=701 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2001=674 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2002=651 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2003=629 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2004=608 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2005=597 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2006=591 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2007=588 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2008=583 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2009=572 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2010=558 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2011=536 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2012=514 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2013=497 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2014=477 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2015=459 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2016=435 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2017=414 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2018=394 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2019=380 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2020=362 per 100,000 live births.
Heavily indebted poor countries (HIPC) observed maternal_mortality_year2021=378 per 100,000 live births.
