Record: Haiti (HTI), indicator=Maternal_Mortality_Ratio
Haiti observed maternal_mortality_year2000=440 per 100,000 live births.
Haiti observed maternal_mortality_year2001=428 per 100,000 live births.
Haiti observed maternal_mortality_year2002=410 per 100,000 live births.
Haiti observed maternal_mortality_year2003=385 per 100,000 live births.
Haiti observed maternal_mortality_year2004=427 per 100,000 live births.
Haiti observed maternal_mortality_year2005=355 per 100,000 live births.
Haiti observed maternal_mortality_year2006=368 per 100,000 live births.
Haiti observed maternal_mortality_year2007=383 per 100,000 live births.
Haiti observed maternal_mortality_year2008=394 per 100,000 live births.
Haiti observed maternal_mortality_year2009=397 per 100,000 live births.
Haiti observed maternal_mortality_year2010=398 per 100,000 live births.
Haiti observed maternal_mortality_year2011=409 per 100,000 live births.
Haiti observed maternal_mortality_year2012=385 per 100,000 live births.
Haiti observed maternal_mortality_year2013=380 per 100,000 live births.
Haiti observed maternal_mortality_year2014=373 per 100,000 live births.
Haiti observed maternal_mortality_year2015=364 per 100,000 live births.
Haiti observed maternal_mortality_year2016=356 per 100,000 live births.
Haiti observed maternal_mortality_year2017=351 per 100,000 live births.
Haiti observed maternal_mortality_year2018=358 per 100,000 live births.
Haiti observed maternal_mortality_year2019=351 per 100,000 live births.
Haiti observed maternal_mortality_year2020=346 per 100,000 live births.
Haiti observed maternal_mortality_year2021=385 per 100,000 live births.
