Record: IDA only (IDX), indicator=Maternal_Mortality_Ratio
IDA only observed maternal_mortality_year2000=636 per 100,000 live births.
IDA only observed maternal_mortality_year2001=608 per 100,000 live births.
IDA only observed maternal_mortality_year2002=584 per 100,000 live births.
IDA only observed maternal_mortality_year2003=559 per 100,000 live births.
IDA only observed maternal_mortality_year2004=538 per 100,000 live births.
IDA only observed maternal_mortality_year2005=525 per 100,000 live births.
IDA only observed maternal_mortality_year2006=514 per 100,000 live births.
IDA only observed maternal_mortality_year2007=508 per 100,000 live births.
IDA only observed maternal_mortality_year2008=501 per 100,000 live births.
IDA only observed maternal_mortality_year2009=491 per 100,000 live births.
IDA only observed maternal_mortality_year2010=479 per 100,000 live births.
IDA only observed maternal_mortality_year2011=461 per 100,000 live births.
IDA only observed maternal_mortality_year2012=442 per 100,000 live births.
IDA only observed maternal_mortality_year2013=428 per 100,000 live births.
IDA only observed maternal_mortality_year2014=419 per 100,000 live births.
IDA only observed maternal_mortality_year2015=406 per 100,000 live births.
IDA only observed maternal_mortality_year2016=388 per 100,000 live births.
IDA only observed maternal_mortality_year2017=370 per 100,000 live births.
IDA only observed maternal_mortality_year2018=344 per 100,000 live births.
IDA only observed maternal_mortality_year2019=331 per 100,000 live births.
IDA only observed maternal_mortality_year2020=315 per 100,000 live births.
IDA only observed maternal_mortality_year2021=334 per 100,000 live births.
