Record: Cambodia (KHM), indicator=Maternal_Mortality_Ratio
Cambodia observed maternal_mortality_year2000=476 per 100,000 live births.
Cambodia observed maternal_mortality_year2001=437 per 100,000 live births.
Cambodia observed maternal_mortality_year2002=399 per 100,000 live births.
Cambodia observed maternal_mortality_year2003=366 per 100,000 live births.
Cambodia observed maternal_mortality_year2004=344 per 100,000 live births.
Cambodia observed maternal_mortality_year2005=323 per 100,000 live births.
Cambodia observed maternal_mortality_year2006=303 per 100,000 live births.
Cambodia observed maternal_mortality_year2007=290 per 100,000 live births.
Cambodia observed maternal_mortality_year2008=272 per 100,000 live births.
Cambodia observed maternal_mortality_year2009=251 per 100,000 live births.
Cambodia observed maternal_mortality_year2010=234 per 100,000 live births.
Cambodia observed maternal_mortality_year2011=214 per 100,000 live births.
Cambodia observed maternal_mortality_year2012=197 per 100,000 live births.
Cambodia observed maternal_mortality_year2013=182 per 100,000 live births.
Cambodia observed maternal_mortality_year2014=172 per 100,000 live births.
Cambodia observed maternal_mortality_year2015=166 per 100,000 live births.
Cambodia observed maternal_mortality_year2016=159 per 100,000 live births.
Cambodia observed maternal_mortality_year2017=155 per 100,000 live births.
Cambodia observed maternal_mortality_year2018=151 per 100,000 live births.
Cambodia observed maternal_mortality_year2019=149 per 100,000 live births.
Cambodia observed maternal_mortality_year2020=164 per 100,000 live births.
Cambodia observed maternal_mortality_year2021=189 per 100,000 live births.
